,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
20140504,100.13,5.64,7.65,3.6,4.05,183.25,7.55,10.45,5.83,4.63,185.25
20140505,100.37,3.3,5.73,1.43,4.3,227.56,4.67,8.09,1.88,6.21,228.06
20140506,100.44,3.84,6.41,1.84,4.57,209.69,5.48,9.21,3.25,5.96,211.56
20140507,100.25,5.81,8.82,4.17,4.65,209.69,7.72,11.39,4.87,6.52,211.31
20140508,99.96,6.37,8.62,4.55,4.07,210.44,8.31,11.42,5.88,5.54,212.75
20140509,99.75,5.91,8.09,3.66,4.44,223.38,7.85,10.83,4.28,6.55,225.44
20140510,99.93,4.93,7.39,3.36,4.03,221.06,6.93,8.99,4.24,4.75,222.25
20140511,100.06,5.1,8.27,2.31,5.95,190.56,6.41,10.35,2.12,8.23,192.5
20140512,99.97,3.7,5.84,0.76,5.08,230.44,4.98,7.75,1.57,6.18,244.94
20140513,100.02,2.97,6.23,0.34,5.9,197.94,4.24,8.49,0.14,8.35,211.06
20140514,99.94,3.07,6.2,0.27,5.92,159.19,4.35,8.35,0.3,8.05,156.38
20140515,99.84,3.2,6.13,0.48,5.65,269.62,4.49,8.34,1.13,7.21,270.12
20140516,99.95,2.52,5.83,0.42,5.41,194.88,3.8,8.17,0.66,7.51,207.0
20140517,100.13,3.91,6.94,1.05,5.88,212.06,5.29,9.18,1.26,7.91,214.69
20140518,100.1,3.79,6.32,1.0,5.32,178.88,5.02,8.31,1.19,7.12,192.56
20140519,100.08,2.98,4.77,0.66,4.11,248.69,4.23,6.84,1.33,5.52,248.81
20140520,99.99,3.57,6.38,0.52,5.86,245.94,5.04,8.59,0.99,7.61,260.25
20140521,99.81,4.39,7.73,0.13,7.6,175.31,5.48,9.5,0.45,9.05,178.06
20140522,99.69,4.86,8.35,2.48,5.88,166.81,5.8,10.2,2.29,7.91,167.56
20140523,99.85,4.38,7.61,2.0,5.61,162.94,5.38,9.42,1.9,7.52,163.69
20140524,100.17,4.01,6.3,1.38,4.92,159.25,4.96,8.2,2.35,5.84,159.25
20140525,100.41,3.67,5.76,1.2,4.56,125.62,4.94,6.87,2.44,4.44,124.56
20140526,100.41,4.12,5.79,2.41,3.38,113.25,5.94,7.3,4.08,3.22,113.81
20140527,100.14,6.12,8.84,2.5,6.34,152.12,8.41,11.47,5.06,6.41,152.81
20140528,99.94,7.42,10.11,1.92,8.19,214.69,10.01,12.5,4.02,8.48,215.94
20140529,100.13,3.16,5.69,1.06,4.62,196.81,4.45,8.12,1.13,6.99,199.0
20140530,99.92,6.02,7.52,4.53,2.98,183.75,7.91,8.94,6.6,2.34,184.69
20140531,99.86,4.07,6.19,2.1,4.08,169.56,5.62,7.53,3.39,4.13,170.81
20140601,99.98,2.21,4.88,1.3,3.58,218.69,3.31,6.99,1.57,5.42,220.25
20140602,100.09,3.5,4.51,2.62,1.88,187.19,4.79,6.38,3.09,3.28,188.31
20140603,99.9,2.86,4.44,0.23,4.2,214.69,4.21,6.92,0.27,6.65,217.5
20140604,99.82,3.91,5.43,2.62,2.8,189.94,5.26,7.53,2.73,4.79,191.38
20140605,99.69,4.94,6.11,3.88,2.23,194.38,6.47,8.35,4.34,4.0,195.44
20140606,99.57,6.05,6.69,4.45,2.24,187.0,7.7,8.39,6.41,1.98,188.38
20140607,99.48,6.73,8.01,5.28,2.73,180.06,8.56,10.58,7.15,3.43,181.31
20140608,99.41,6.52,7.73,5.15,2.57,184.62,8.51,9.89,7.09,2.8,185.44
20140609,99.39,4.95,7.66,3.68,3.98,180.94,6.41,9.16,4.11,5.05,182.62
20140610,99.44,5.04,7.12,2.7,4.44,188.44,6.64,9.28,4.36,4.92,189.94
20140611,99.39,4.99,5.93,3.97,1.96,186.88,6.51,7.77,5.3,2.48,188.31
20140612,99.23,2.95,4.67,1.52,3.15,162.62,4.33,7.27,1.89,5.38,162.06
20140613,99.22,2.38,4.93,1.06,3.87,181.5,3.56,7.6,1.33,6.27,195.44
20140614,99.41,3.02,4.43,1.09,3.34,177.62,4.49,6.25,0.88,5.38,178.88
20140615,99.48,1.9,4.26,0.38,3.88,135.81,2.95,7.66,0.72,6.95,133.69
20140616,99.51,2.9,4.18,1.66,2.52,163.38,4.43,6.09,1.55,4.53,163.56
20140617,99.44,1.83,3.04,0.12,2.91,142.06,2.9,5.11,0.11,5.0,142.62
20140618,99.32,1.93,2.77,0.65,2.12,163.75,3.07,4.88,0.74,4.14,163.5
20140619,99.26,2.07,3.27,1.3,1.97,234.06,3.29,5.7,1.5,4.2,234.88
20140620,99.23,4.62,6.65,3.55,3.09,243.5,6.61,8.8,5.11,3.7,244.62
20140621,99.47,5.3,6.59,3.59,3.01,246.5,7.48,9.1,5.33,3.77,247.5
20140622,99.6,5.34,6.23,4.37,1.86,222.38,7.41,8.85,5.58,3.28,223.69
20140623,99.47,4.27,5.8,1.36,4.45,225.62,6.2,8.73,1.8,6.94,227.69
20140624,99.38,4.03,6.88,1.32,5.57,262.38,5.86,8.78,2.35,6.43,262.75
20140625,99.53,3.54,5.98,1.9,4.09,179.75,5.19,8.88,3.34,5.53,180.38
20140626,99.75,1.51,3.77,0.76,3.02,161.81,2.38,6.51,0.88,5.62,160.94
20140627,99.97,3.59,4.98,2.27,2.71,179.31,5.01,7.72,2.36,5.36,180.31
20140628,99.84,4.0,5.36,2.3,3.06,173.56,5.62,6.48,4.42,2.05,174.25
20140629,99.61,2.2,3.09,0.93,2.16,217.94,3.66,6.28,1.26,5.02,219.06
20140630,99.67,3.48,4.78,1.93,2.84,206.12,5.24,7.38,3.1,4.27,206.69
20140701,99.71,1.84,3.13,0.56,2.57,148.69,3.06,5.62,0.72,4.9,147.38
20140702,99.55,3.95,6.02,1.19,4.83,238.25,5.5,8.27,2.09,6.19,238.62
20140703,99.28,5.43,7.59,2.42,5.17,280.94,7.7,9.99,5.2,4.8,281.88
20140704,99.41,4.44,6.15,2.52,3.63,253.25,6.36,8.45,4.62,3.82,253.81
20140705,99.66,4.77,6.27,2.63,3.63,206.0,6.47,8.59,4.25,4.34,206.56
20140706,99.93,5.27,6.89,3.97,2.92,184.06,7.24,8.27,5.73,2.55,184.94
20140707,99.81,4.88,5.61,3.72,1.89,205.06,6.73,7.95,5.53,2.41,206.06
20140708,99.61,4.8,6.15,2.86,3.3,200.31,6.73,7.91,4.98,2.92,201.06
20140709,99.47,3.01,4.1,1.95,2.15,209.94,4.54,6.77,2.24,4.52,211.62
20140710,99.49,2.84,3.84,1.07,2.77,168.44,4.38,5.88,1.18,4.7,168.56
20140711,99.5,2.95,3.82,2.01,1.81,130.19,4.52,5.31,4.09,1.22,130.0
20140712,99.41,3.19,5.5,0.26,5.24,118.19,4.48,6.84,0.38,6.45,117.94
20140713,99.46,4.95,7.71,1.75,5.96,97.75,6.95,9.33,3.74,5.59,98.12
20140714,99.38,4.22,6.23,2.11,4.12,144.44,6.04,7.87,4.28,3.59,145.06
20140715,99.45,4.36,5.28,2.64,2.64,149.19,6.29,7.48,5.34,2.14,149.56
20140716,99.54,6.49,9.12,3.98,5.15,181.0,8.72,11.19,6.61,4.57,181.94
20140717,99.56,4.09,5.1,2.94,2.16,197.5,5.92,7.69,3.31,4.38,199.0
20140718,99.43,2.52,3.95,0.96,2.98,259.69,3.95,6.25,1.66,4.59,260.94
20140719,99.31,3.77,5.32,2.22,3.1,249.12,5.88,7.05,3.78,3.27,249.94
20140720,99.04,2.93,5.23,0.88,4.36,195.56,4.34,7.62,0.88,6.74,196.31
20140721,98.88,6.76,9.38,4.02,5.34,143.31,8.96,11.67,6.43,5.24,144.12
20140722,99.32,6.65,8.41,4.45,3.97,158.12,8.96,11.01,6.98,4.03,159.12
20140723,99.71,3.09,3.95,2.38,1.57,179.25,4.89,6.72,3.44,3.28,179.94
20140724,99.72,1.56,2.22,0.54,1.68,207.06,2.58,4.78,0.58,4.2,206.94
20140725,99.74,1.74,3.15,0.28,2.87,267.25,2.64,5.92,0.51,5.41,269.0
20140726,99.86,2.4,4.43,0.06,4.37,150.5,3.54,5.88,0.12,5.77,151.31
20140727,99.86,3.52,5.06,1.34,3.72,106.62,5.08,6.61,2.3,4.3,106.62
20140728,99.61,4.24,5.84,2.52,3.31,99.0,6.17,7.15,5.14,2.02,99.44
20140729,99.48,5.2,7.08,3.36,3.73,102.69,7.34,8.79,5.98,2.81,103.38
20140730,99.57,4.96,7.19,3.41,3.77,119.06,7.04,8.96,5.44,3.52,119.5
20140731,99.69,4.95,7.03,2.93,4.1,146.56,7.2,8.48,5.73,2.74,147.06
20140801,99.63,4.46,5.63,3.03,2.61,171.94,6.45,7.22,5.73,1.49,173.12
20140802,99.42,3.22,4.23,2.43,1.8,200.19,5.07,6.56,2.76,3.8,201.31
20140803,99.12,2.32,4.32,0.59,3.73,99.25,3.56,5.18,1.28,3.9,100.31
20140804,98.68,6.88,12.05,3.14,8.91,96.44,9.13,15.66,5.52,10.14,97.75
20140805,99.3,7.2,13.98,4.24,9.74,174.12,9.73,18.32,5.58,12.74,175.62
20140806,99.63,3.51,4.62,2.41,2.22,210.69,5.35,6.86,3.65,3.22,211.75
20140807,99.65,2.41,3.59,1.16,2.42,247.31,3.73,5.33,1.99,3.34,247.69
20140808,99.6,2.54,4.86,0.7,4.16,193.25,4.11,7.7,0.8,6.91,193.25
20140809,99.6,3.9,4.67,2.71,1.96,141.31,5.55,7.23,3.09,4.14,142.31
20140810,99.62,5.91,8.22,2.26,5.96,180.0,7.92,10.45,3.51,6.95,182.12
20140811,99.82,5.49,6.4,4.64,1.75,193.81,7.56,8.9,6.44,2.46,195.19
20140812,99.73,5.32,6.84,4.27,2.56,202.0,7.55,8.52,6.67,1.84,203.19
20140813,99.68,4.54,4.98,3.83,1.16,223.31,6.61,7.65,5.05,2.6,224.25
20140814,99.72,3.1,5.58,0.52,5.06,250.19,4.72,7.31,0.66,6.66,251.0
20140815,99.88,3.51,5.35,1.88,3.47,173.31,5.21,6.78,3.24,3.54,173.75
20140816,99.97,2.27,4.76,0.59,4.16,269.56,3.37,6.14,0.64,5.49,270.25
20140817,100.07,2.34,3.02,1.29,1.73,208.94,4.0,5.96,1.43,4.53,210.06
20140818,100.27,2.52,3.94,1.79,2.15,216.0,4.04,6.63,2.12,4.51,216.75
20140819,100.34,3.72,4.61,2.32,2.29,211.25,5.6,7.37,4.53,2.83,212.0
20140820,100.21,3.06,4.07,1.59,2.49,215.06,4.75,6.58,2.91,3.68,215.69
20140821,100.0,3.01,3.82,1.89,1.93,202.06,4.76,6.56,3.31,3.25,202.75
20140822,100.06,3.47,4.97,2.25,2.71,192.06,5.34,7.64,3.79,3.85,192.5
20140823,100.19,4.55,5.53,3.87,1.66,199.12,6.55,8.48,4.98,3.5,200.0
20140824,100.18,3.67,4.85,2.2,2.66,194.81,5.49,7.06,4.72,2.34,195.31
20140825,100.2,2.84,3.7,1.98,1.73,214.25,4.49,6.38,2.75,3.62,214.94
20140826,100.1,2.57,3.08,1.95,1.12,183.94,4.27,5.69,3.33,2.36,184.5
20140827,99.95,2.09,2.73,1.31,1.41,138.69,3.5,5.05,1.96,3.09,138.44
20140828,100.02,2.88,3.99,1.56,2.43,105.06,4.55,5.77,3.05,2.72,105.19
20140829,99.99,3.71,5.68,1.95,3.73,113.94,5.85,7.02,4.4,2.62,114.19
20140830,99.92,3.34,5.23,1.8,3.43,136.5,5.4,6.5,4.02,2.48,136.81
20140831,99.74,2.7,4.7,1.24,3.46,119.88,4.34,5.8,2.31,3.48,120.0
20140901,99.74,4.83,7.29,1.42,5.87,136.19,7.12,9.46,3.09,6.38,137.12
20140902,100.07,4.31,5.64,2.62,3.01,157.5,6.52,7.98,5.13,2.85,158.38
20140903,100.11,2.41,3.2,1.53,1.66,166.81,3.94,5.81,2.2,3.61,167.12
20140904,99.93,1.82,3.12,0.62,2.5,140.38,2.83,4.38,1.16,3.22,140.5
20140905,99.7,3.42,5.19,0.62,4.58,82.62,5.16,6.89,1.42,5.47,83.75
20140906,99.68,5.56,7.82,3.96,3.87,83.44,7.94,9.98,6.52,3.47,84.25
20140907,99.93,5.43,7.58,3.63,3.95,121.06,7.95,9.72,6.69,3.03,121.81
20140908,100.12,4.09,6.16,2.23,3.92,159.5,6.25,7.67,4.39,3.27,160.19
20140909,100.05,3.05,3.98,1.95,2.04,214.88,4.86,6.9,3.21,3.68,215.62
20140910,100.09,2.09,2.91,1.09,1.83,184.81,3.62,6.07,1.14,4.94,185.19
20140911,100.22,2.34,3.18,1.36,1.82,163.5,3.9,6.33,1.55,4.77,163.75
20140912,100.22,2.54,3.26,1.82,1.44,173.75,4.34,6.3,2.0,4.3,174.06
20140913,100.08,2.12,3.12,1.58,1.54,164.75,3.63,6.07,1.67,4.4,165.38
20140914,100.05,1.31,2.1,0.55,1.55,146.25,2.2,4.64,0.56,4.08,145.62
20140915,99.99,1.85,3.01,0.43,2.57,156.69,3.13,5.42,0.65,4.77,156.19
20140916,99.88,1.92,2.86,0.49,2.37,123.06,2.94,4.8,0.73,4.06,123.0
20140917,99.79,1.32,2.37,0.57,1.79,169.06,2.19,5.41,0.68,4.72,168.19
20140918,99.98,1.91,2.61,0.82,1.79,180.94,3.24,5.3,0.84,4.46,180.38
20140919,100.07,2.67,4.05,1.45,2.6,109.38,4.44,5.16,2.69,2.47,109.56
20140920,99.88,3.48,4.9,2.01,2.89,126.88,5.67,6.95,4.29,2.66,127.56
20140921,99.89,4.05,5.04,3.01,2.03,177.5,6.34,6.88,5.76,1.12,178.25
20140922,100.07,3.12,4.22,1.46,2.75,235.0,4.76,7.17,2.66,4.51,235.94
20140923,100.17,2.27,2.94,1.45,1.49,260.25,3.93,5.68,1.96,3.72,261.69
20140924,100.26,1.9,2.63,1.73,0.91,277.56,3.07,4.84,2.02,2.82,278.12
20140925,100.39,1.94,2.66,0.98,1.68,264.88,3.02,4.34,1.52,2.83,265.12
20140926,100.52,2.46,3.41,1.38,2.02,266.75,3.9,5.22,2.12,3.09,267.25
20140927,100.7,2.2,3.45,1.28,2.18,276.88,3.59,6.0,1.88,4.12,277.5
20140928,100.74,2.2,3.32,1.19,2.13,253.81,3.51,5.97,1.77,4.2,254.25
20140929,100.66,1.86,3.54,0.12,3.41,298.0,2.9,5.73,0.16,5.58,298.19
20140930,100.66,1.34,2.01,0.3,1.71,208.88,1.84,2.8,0.39,2.42,208.69
20141001,100.7,1.45,2.09,0.41,1.67,197.88,2.07,3.4,0.54,2.85,197.75
20141002,100.65,1.05,2.5,0.09,2.41,190.31,1.56,3.7,0.1,3.59,190.81
20141003,100.53,1.5,2.33,0.29,2.04,219.69,2.54,4.77,0.34,4.44,220.81
20141004,100.61,1.33,2.38,0.56,1.82,180.12,2.23,4.77,0.65,4.12,179.12
20141005,100.74,1.59,1.97,1.27,0.7,132.56,2.31,3.12,1.41,1.7,132.75
20141006,100.75,0.88,1.45,0.2,1.25,126.31,1.21,2.29,0.27,2.02,112.25
20141007,100.6,1.17,1.86,0.46,1.4,259.31,1.85,3.32,0.52,2.8,261.25
20141008,100.58,1.19,2.71,0.15,2.56,294.06,1.88,4.18,0.19,3.99,294.5
20141009,100.53,1.54,2.17,0.84,1.34,162.62,2.15,3.29,1.23,2.05,162.81
20141010,100.39,1.52,2.15,0.31,1.83,129.38,2.12,2.78,0.41,2.37,129.56
20141011,100.35,2.2,3.63,0.73,2.9,98.75,3.48,5.38,1.12,4.27,98.75
20141012,100.47,4.1,5.89,2.27,3.62,107.56,6.45,7.4,5.08,2.33,108.19
20141013,100.63,3.86,4.86,2.87,1.99,131.88,6.27,6.92,5.12,1.8,132.5
20141014,100.84,3.34,5.1,2.23,2.87,163.12,5.74,6.28,4.93,1.35,163.5
20141015,100.94,1.67,2.42,1.06,1.36,218.25,2.59,4.55,1.74,2.81,218.06
20141016,100.94,2.65,4.31,1.15,3.16,278.06,3.8,6.23,2.19,4.05,263.5
20141017,100.96,2.17,2.92,1.13,1.79,246.0,3.38,5.68,1.68,3.99,246.06
20141018,100.9,2.01,2.66,1.11,1.55,336.31,3.09,4.92,1.63,3.29,336.44
20141019,100.84,1.57,2.52,0.92,1.6,321.19,2.25,3.82,1.33,2.49,320.94
20141020,100.95,2.05,2.72,1.51,1.21,155.06,3.04,4.27,2.29,1.98,140.12
20141021,101.09,1.39,2.2,0.38,1.81,76.12,1.95,3.73,0.5,3.24,30.69
20141022,101.11,1.39,2.48,0.29,2.2,316.31,1.89,3.7,0.38,3.32,316.56
20141023,100.99,1.36,2.38,0.6,1.78,266.44,1.94,3.72,0.71,3.01,267.31
20141024,100.91,1.49,2.28,0.71,1.57,318.0,2.17,4.03,0.97,3.05,318.31
20141025,100.92,1.34,2.3,0.54,1.76,291.12,2.02,4.51,0.65,3.86,291.75
20141026,101.13,2.5,3.32,2.01,1.31,333.19,4.44,5.66,3.07,2.59,333.75
20141027,101.07,2.2,3.03,1.23,1.8,306.31,3.65,6.28,2.16,4.12,306.81
20141028,100.91,1.45,2.67,0.14,2.53,241.56,2.41,4.99,0.17,4.82,256.19
20141029,100.94,2.02,3.36,0.49,2.87,239.06,3.05,5.34,0.69,4.65,224.19
20141030,100.91,1.55,2.23,0.13,2.1,207.5,2.19,3.77,0.17,3.59,207.56
20141031,100.86,1.95,3.16,1.02,2.14,324.5,2.89,5.29,1.47,3.82,324.56
20141101,100.84,2.35,3.41,1.88,1.53,339.06,3.73,5.41,2.5,2.91,339.31
20141102,100.9,2.05,3.57,1.23,2.34,337.38,3.2,5.53,1.77,3.77,337.75
20141103,100.88,2.34,3.53,1.67,1.86,326.69,3.77,6.57,2.18,4.39,327.12
20141104,100.79,1.93,3.75,0.66,3.09,269.44,3.22,6.79,0.78,6.01,270.25
20141105,100.74,2.54,3.86,1.14,2.72,299.75,3.92,6.24,1.62,4.63,300.0
20141106,100.64,3.2,4.58,2.2,2.38,312.56,5.18,7.56,3.42,4.14,312.88
20141107,100.78,2.73,3.68,1.98,1.69,290.44,4.28,5.78,3.07,2.71,290.88
20141108,100.94,2.95,4.5,1.99,2.51,182.38,4.82,7.48,3.04,4.44,182.94
20141109,101.06,2.82,4.48,1.64,2.84,275.25,4.55,7.4,2.52,4.88,275.62
20141110,100.97,1.7,3.0,0.34,2.66,291.31,2.7,5.91,0.45,5.46,291.69
20141111,100.94,1.05,1.46,0.53,0.93,267.88,1.41,2.19,0.7,1.49,266.88
20141112,100.99,1.38,2.09,0.39,1.7,305.44,1.92,3.03,0.49,2.53,304.81
20141113,101.12,2.1,2.85,1.33,1.52,337.5,3.25,4.74,1.92,2.82,337.56
20141114,101.14,2.02,3.2,0.45,2.76,283.19,3.3,6.61,0.58,6.02,283.31
20141115,101.02,1.84,3.45,0.93,2.52,328.94,2.83,5.69,1.06,4.62,329.06
20141116,101.0,1.91,2.87,0.64,2.22,283.19,2.9,5.1,0.84,4.26,283.0
20141117,101.08,2.29,3.09,1.68,1.41,340.25,3.52,5.55,2.16,3.39,340.19
20141118,101.22,2.68,3.71,2.05,1.65,283.94,4.44,6.94,2.66,4.28,284.25
20141119,101.21,2.27,3.5,0.99,2.5,323.62,3.75,7.0,1.38,5.62,323.88
20141120,101.08,2.0,3.11,0.46,2.64,318.62,2.98,4.94,0.61,4.33,318.69
20141121,101.01,1.66,2.74,0.3,2.45,275.69,2.48,4.77,0.39,4.37,275.56
20141122,100.97,1.33,2.32,0.32,2.0,286.75,1.95,3.79,0.38,3.41,286.75
20141123,101.01,1.52,2.91,0.42,2.49,289.94,2.36,5.34,0.54,4.8,290.19
20141124,101.11,2.24,3.13,1.52,1.6,316.81,3.38,5.27,1.94,3.34,316.94
20141125,101.03,2.87,4.05,1.84,2.21,338.88,4.64,7.29,2.7,4.59,338.94
20141126,100.8,1.88,3.07,0.27,2.8,278.62,2.95,5.71,0.34,5.36,278.56
20141127,100.89,1.86,2.94,0.91,2.02,270.12,2.72,4.66,1.23,3.43,269.56
20141128,100.96,1.63,3.22,0.15,3.06,260.0,2.52,5.61,0.19,5.42,259.19
20141129,100.97,1.66,2.8,0.35,2.45,271.75,2.45,4.84,0.45,4.4,271.38
20141130,100.94,2.04,3.23,0.91,2.33,292.12,3.11,5.53,1.22,4.31,292.31
20141201,100.91,2.59,3.55,1.8,1.75,337.81,4.12,6.16,2.53,3.63,337.94
20141202,100.96,2.39,3.96,1.23,2.73,311.56,3.88,6.22,1.75,4.47,311.5
20141203,100.94,2.3,3.79,0.91,2.88,282.44,3.73,6.51,1.28,5.23,282.44
20141204,101.07,2.33,3.68,1.39,2.29,312.69,3.8,6.69,1.98,4.7,313.0
20141205,101.17,2.3,3.8,1.3,2.51,340.44,3.7,6.33,1.41,4.91,340.81
20141206,101.14,2.66,3.75,1.87,1.89,336.0,4.41,7.06,2.08,4.98,336.31
20141207,101.1,2.62,3.68,1.26,2.42,310.25,4.31,7.26,1.77,5.48,310.38
20141208,101.12,1.91,3.19,0.29,2.9,315.81,2.99,6.06,0.4,5.66,316.25
20141209,101.23,1.81,2.98,0.45,2.54,262.81,2.77,5.46,0.58,4.88,262.56
20141210,101.2,1.91,3.08,0.88,2.2,246.69,2.95,5.7,0.91,4.8,246.44
20141211,101.28,2.86,3.32,2.11,1.2,256.88,4.73,6.53,2.3,4.22,257.06
20141212,101.37,2.59,3.41,1.44,1.98,268.31,4.21,6.29,2.12,4.16,253.69
20141213,101.4,2.47,3.07,1.91,1.16,192.81,3.98,5.59,2.26,3.34,193.25
20141214,101.32,2.09,2.89,1.24,1.65,237.38,3.22,4.91,1.77,3.15,237.62
20141215,101.24,1.76,2.58,0.5,2.08,287.12,2.62,4.48,0.7,3.78,287.56
20141216,101.35,3.48,4.52,2.45,2.05,338.69,5.98,8.38,4.06,4.31,339.0
20141217,101.4,3.88,5.23,2.47,2.77,335.5,5.96,8.86,4.21,4.65,335.5
20141218,101.57,3.28,4.3,2.46,1.84,311.69,5.26,7.09,3.3,3.79,311.75
20141219,101.64,3.41,4.67,2.09,2.58,326.56,5.52,7.58,3.8,3.77,326.94
20141220,101.36,2.63,4.09,1.46,2.63,332.12,4.41,8.1,2.12,5.98,332.5
20141221,101.24,2.84,3.79,2.09,1.7,316.44,4.76,7.21,2.31,4.9,316.81
20141222,101.26,2.84,4.23,1.77,2.46,324.5,4.7,8.05,2.56,5.48,324.81
20141223,101.3,2.62,3.96,1.36,2.6,305.94,4.28,7.39,1.96,5.43,306.38
20141224,101.39,3.09,3.91,2.31,1.6,342.31,5.04,7.2,2.75,4.46,342.44
20141225,101.35,3.55,4.72,2.42,2.3,341.38,5.96,7.73,3.49,4.24,341.44
20141226,101.18,3.04,4.13,2.06,2.07,269.62,4.82,6.96,3.16,3.8,269.69
20141227,101.27,3.12,4.14,2.33,1.8,310.75,5.15,6.88,3.13,3.73,310.94
20141228,101.38,3.24,4.12,2.25,1.87,339.69,5.44,8.28,3.16,5.12,340.12
20141229,101.2,2.87,4.12,1.69,2.44,312.69,4.74,8.31,2.46,5.85,313.06
20141230,101.08,2.41,4.04,0.07,3.98,267.94,3.75,7.29,0.1,7.19,267.94
20141231,101.16,2.08,2.79,1.12,1.67,197.75,3.34,5.05,1.77,3.28,198.56
20150101,101.16,3.27,4.83,1.53,3.3,81.0,5.19,6.31,2.88,3.43,81.12
20150102,101.16,3.43,5.69,2.03,3.66,104.81,5.62,6.95,3.98,2.97,104.81
20150103,101.11,2.16,3.82,0.37,3.45,145.75,3.11,4.52,0.61,3.91,146.62
20150104,101.09,3.5,6.16,0.83,5.34,312.88,5.14,7.36,1.33,6.03,298.38
20150105,101.07,3.17,4.49,2.16,2.34,257.81,4.96,7.86,3.61,4.25,242.81
20150106,101.14,2.43,3.65,1.72,1.93,251.62,3.81,6.3,2.12,4.18,251.62
20150107,101.09,1.98,2.91,0.72,2.2,242.88,3.05,5.66,0.73,4.94,242.56
20150108,101.15,2.09,3.16,0.44,2.71,247.88,2.95,4.86,0.6,4.26,247.19
20150109,101.31,3.34,4.27,2.37,1.9,332.25,5.43,7.39,3.46,3.93,332.31
20150110,101.38,3.04,4.25,1.73,2.52,307.44,4.91,7.96,2.53,5.43,307.62
20150111,101.45,2.66,4.03,1.19,2.84,301.75,4.3,7.42,1.66,5.77,287.06
20150112,101.41,2.38,4.04,1.12,2.92,222.75,3.59,6.19,1.59,4.6,223.25
20150113,101.33,2.28,4.05,1.09,2.96,277.31,3.51,6.92,1.49,5.43,277.44
20150114,101.29,2.03,3.18,0.69,2.49,239.06,3.14,6.15,0.95,5.2,238.75
20150115,101.3,2.06,3.45,0.45,3.01,332.5,2.88,5.16,0.59,4.57,332.69
20150116,101.27,3.59,4.84,2.35,2.49,341.88,5.86,9.12,4.24,4.88,342.38
20150117,101.29,4.23,5.36,2.57,2.79,342.38,6.92,9.24,4.84,4.39,342.62
20150118,101.38,3.27,4.41,1.84,2.55,333.19,5.22,8.37,2.77,5.6,333.31
20150119,101.44,2.68,3.43,1.85,1.58,314.69,4.33,7.15,2.36,4.8,315.12
20150120,101.63,2.9,3.88,1.7,2.19,334.12,4.51,6.66,2.42,4.23,334.44
20150121,101.78,2.79,4.12,1.27,2.85,301.06,4.35,7.34,1.77,5.57,301.5
20150122,101.62,1.97,3.47,0.4,3.06,281.0,3.17,6.91,0.6,6.3,281.38
20150123,101.32,2.06,3.25,0.4,2.85,255.12,3.11,5.26,0.59,4.66,255.19
20150124,101.37,3.03,4.29,2.05,2.23,325.75,4.59,6.93,3.12,3.8,325.88
20150125,101.51,2.52,3.62,1.11,2.52,233.56,4.02,7.28,1.55,5.72,233.69
20150126,101.45,1.72,2.74,0.41,2.33,269.12,2.45,4.54,0.56,3.98,269.12
20150127,101.25,2.11,3.23,0.28,2.94,270.56,3.15,5.84,0.39,5.45,255.88
20150128,101.14,2.28,3.84,1.01,2.83,328.75,3.48,6.47,1.41,5.05,329.19
20150129,101.2,2.23,3.64,1.34,2.3,247.0,3.57,6.74,1.53,5.21,232.44
20150130,101.36,2.85,4.23,1.2,3.02,244.88,4.33,6.65,1.89,4.76,244.5
20150131,101.46,2.66,3.52,1.8,1.72,265.06,4.23,7.38,1.95,5.41,265.25
20150201,101.47,2.71,3.44,1.83,1.62,271.31,4.25,7.21,2.39,4.83,271.44
20150202,101.59,2.24,3.22,0.37,2.85,296.5,3.35,5.91,0.48,5.43,296.69
20150203,101.7,2.31,3.8,0.32,3.48,318.0,3.46,7.05,0.46,6.59,318.44
20150204,101.5,2.27,3.43,0.41,3.02,273.44,3.59,7.08,0.55,6.52,273.62
20150205,101.41,2.62,3.65,1.41,2.23,274.88,4.16,7.0,2.07,4.93,275.44
20150206,101.43,2.52,4.22,0.41,3.8,265.44,4.0,7.09,0.55,6.54,265.25
20150207,101.33,2.32,3.37,0.49,2.88,274.94,3.54,6.21,0.68,5.53,274.75
20150208,101.28,1.86,2.95,0.08,2.87,308.38,2.84,5.43,0.12,5.32,309.56
20150209,101.39,2.58,3.48,1.62,1.86,316.62,4.03,6.28,2.41,3.88,317.12
20150210,101.4,2.7,3.62,1.59,2.03,310.0,4.13,6.21,2.39,3.82,310.19
20150211,101.29,2.29,4.17,0.1,4.07,279.25,3.59,6.76,0.13,6.62,293.75
20150212,101.14,1.97,2.89,0.62,2.27,245.81,2.96,5.09,0.77,4.34,245.56
20150213,100.95,2.2,3.03,0.77,2.27,257.25,3.23,4.93,1.16,3.78,257.0
20150214,100.9,1.9,2.91,0.53,2.39,179.62,2.79,5.53,0.72,4.8,180.56
20150215,100.92,1.78,2.77,0.73,2.05,189.62,2.7,5.24,0.9,4.34,189.94
20150216,101.09,1.23,2.25,0.09,2.16,142.5,1.7,3.77,0.11,3.66,143.44
20150217,100.95,1.88,3.02,0.88,2.13,191.38,3.04,6.55,1.12,5.43,190.94
