,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
20120306,100.29,2.77,3.68,0.59,3.09,219.38,4.38,7.1,0.8,6.3,218.88
20120307,100.07,2.8,5.18,1.02,4.16,240.69,4.68,9.28,1.29,7.99,241.12
20120308,100.21,2.6,4.34,1.4,2.95,252.0,4.12,7.23,1.73,5.5,251.81
20120309,100.28,2.08,2.84,1.23,1.6,196.25,3.41,5.51,1.46,4.05,196.44
20120310,100.53,2.74,4.56,1.38,3.19,225.19,4.27,6.72,1.91,4.81,256.38
20120311,100.82,3.28,4.45,2.75,1.7,115.5,5.41,7.44,3.09,4.34,116.62
20120312,100.98,2.22,3.8,0.6,3.2,119.56,3.45,6.35,0.78,5.57,120.0
20120313,100.92,2.09,3.09,0.32,2.77,208.0,3.35,5.94,0.06,5.88,212.31
20120314,100.91,3.12,4.86,0.32,4.54,220.56,4.5,5.81,0.55,5.27,220.69
20120315,100.95,2.87,4.15,0.76,3.39,254.19,4.43,6.82,1.05,5.77,253.69
20120316,100.83,2.38,3.53,0.35,3.17,222.69,3.64,6.2,0.47,5.73,222.31
20120317,100.69,1.87,3.58,0.77,2.8,208.06,2.58,4.85,1.11,3.75,206.94
20120318,100.64,1.84,3.04,0.73,2.31,194.81,2.62,4.85,0.88,3.97,194.81
20120319,100.64,1.72,3.2,0.02,3.19,307.94,2.27,3.73,0.05,3.68,307.88
20120320,100.61,2.23,3.55,1.66,1.88,302.94,3.15,4.76,2.06,2.7,302.75
20120321,100.5,2.48,3.77,0.53,3.23,268.94,3.95,8.11,0.72,7.39,269.69
20120322,100.49,2.4,3.57,0.98,2.59,236.44,3.92,7.8,1.99,5.81,235.06
20120323,100.74,1.99,3.52,1.23,2.29,267.62,2.96,5.64,1.62,4.02,266.81
20120324,100.76,2.08,3.67,0.37,3.3,258.81,3.08,5.64,0.48,5.16,257.38
20120325,100.72,2.01,2.98,0.47,2.52,240.5,3.13,5.66,0.66,5.01,239.56
20120326,100.75,2.24,3.45,0.65,2.8,234.19,3.52,7.31,0.92,6.4,233.81
20120327,100.77,2.46,3.52,0.66,2.86,222.81,4.21,7.52,1.08,6.45,223.12
20120328,100.79,3.09,4.6,1.38,3.22,210.44,5.12,7.66,2.15,5.5,210.5
20120329,100.62,2.66,3.57,0.86,2.71,227.25,4.45,7.52,1.46,6.05,227.12
20120330,100.54,2.05,3.59,0.77,2.81,185.06,3.39,6.62,1.12,5.49,184.44
20120331,100.73,2.49,4.59,1.18,3.4,167.56,4.02,7.88,1.84,6.05,167.44
20120401,100.77,2.12,3.25,0.63,2.62,201.19,3.74,7.24,0.69,6.55,201.75
20120402,100.77,2.73,4.43,1.34,3.09,194.81,4.58,7.69,1.32,6.37,196.31
20120403,100.77,4.39,5.93,3.09,2.84,188.12,6.44,9.51,4.8,4.7,188.94
20120404,100.58,2.81,4.3,0.28,4.02,225.94,4.62,7.49,0.51,6.98,226.38
20120405,100.48,4.21,6.95,1.39,5.57,169.44,6.02,8.9,2.69,6.21,170.56
20120406,100.43,4.76,6.02,2.77,3.26,155.94,6.57,8.35,4.11,4.24,157.38
20120407,100.43,3.96,5.92,2.41,3.52,176.81,5.9,8.78,2.73,6.05,178.5
20120408,100.32,5.69,6.95,3.77,3.18,173.88,7.76,9.55,6.59,2.97,175.25
20120409,100.33,3.92,6.4,1.38,5.02,188.94,5.69,9.15,1.52,7.63,191.75
20120410,100.38,3.45,6.34,1.25,5.09,180.38,5.2,9.3,1.42,7.88,183.5
20120411,100.32,4.91,6.2,3.62,2.57,165.81,6.73,8.76,4.91,3.85,167.75
20120412,100.12,4.11,6.14,2.22,3.92,175.88,5.87,8.49,2.52,5.97,178.31
20120413,100.22,2.6,4.4,0.39,4.01,172.31,4.25,7.52,0.26,7.27,171.0
20120414,100.44,3.38,5.75,1.05,4.7,195.0,5.17,8.16,1.26,6.9,197.62
20120415,100.38,2.55,4.35,0.55,3.8,248.38,3.94,7.76,0.77,7.0,248.25
20120416,100.23,2.15,5.47,0.09,5.38,214.88,3.45,8.03,0.05,7.98,223.94
20120417,100.15,2.64,5.05,0.41,4.62,211.25,4.0,8.33,0.63,7.7,211.19
20120418,100.05,3.58,5.75,0.55,5.2,211.06,5.23,8.24,0.8,7.44,212.88
20120419,100.08,3.26,6.03,0.67,5.36,207.12,4.75,8.55,0.86,7.7,210.62
20120420,100.22,3.14,5.36,0.23,5.13,198.25,4.45,7.88,0.51,7.37,205.06
20120421,100.21,2.87,5.03,0.31,4.72,274.06,4.12,6.09,0.57,5.52,273.06
20120422,100.0,3.57,6.72,1.96,4.75,249.81,5.06,9.3,2.36,6.95,250.62
20120423,100.05,3.72,6.74,0.52,6.23,236.25,5.33,9.32,0.83,8.49,236.75
20120424,100.08,4.21,6.92,1.42,5.5,213.25,5.98,10.09,1.7,8.39,215.12
20120425,100.19,4.6,7.12,2.72,4.41,202.25,6.38,9.77,3.61,6.16,204.12
20120426,100.23,4.22,5.91,1.88,4.04,201.81,6.0,9.08,3.16,5.91,204.25
20120427,100.04,4.62,7.13,2.03,5.1,205.81,6.27,9.77,2.29,7.49,208.0
20120428,99.85,4.72,6.21,2.76,3.45,214.94,6.48,8.77,3.56,5.2,216.38
20120429,99.93,3.18,6.88,0.3,6.56,206.31,4.59,9.7,0.16,9.54,211.75
20120430,99.81,5.02,6.37,3.77,2.59,198.31,6.84,8.92,4.96,3.96,200.31
20120501,99.91,4.8,7.45,2.81,4.63,196.75,6.46,9.55,3.59,5.95,198.69
20120502,100.05,4.51,6.02,2.78,3.24,187.31,6.05,8.48,3.12,5.34,189.25
20120503,100.08,3.18,5.44,0.96,4.48,178.94,4.73,8.11,0.87,7.24,180.31
20120504,100.08,3.57,5.29,2.03,3.26,161.75,5.07,7.45,3.16,4.28,162.31
20120505,100.31,2.32,2.68,1.65,1.03,139.62,3.44,4.62,2.53,2.09,139.56
20120506,100.22,1.7,3.16,0.55,2.61,237.56,2.69,6.17,0.79,5.38,251.44
20120507,100.07,2.57,5.07,0.55,4.52,221.94,4.17,7.91,0.81,7.1,225.0
20120508,100.09,5.25,8.44,3.02,5.41,180.94,7.03,10.43,5.37,5.06,181.94
20120509,100.28,4.54,5.45,3.46,1.98,170.75,6.09,6.74,5.52,1.23,171.56
20120510,100.41,2.76,3.77,1.76,2.01,179.38,4.25,6.45,1.95,4.51,180.69
20120511,100.16,3.92,7.35,1.88,5.47,192.81,5.32,9.48,2.97,6.52,194.69
20120512,99.93,4.73,6.71,2.94,3.77,187.62,6.16,8.82,2.97,5.85,189.62
20120513,99.87,4.2,6.66,2.85,3.81,194.31,5.55,9.02,3.1,5.92,196.69
20120514,99.89,4.07,7.16,1.1,6.06,200.06,5.38,9.3,1.12,8.17,202.88
20120515,99.98,3.58,6.37,0.42,5.95,207.5,4.92,8.91,0.59,8.31,211.25
20120516,99.81,2.98,5.48,0.37,5.12,232.19,4.22,7.46,0.65,6.81,231.0
20120517,99.7,4.03,6.39,1.62,4.76,183.81,5.5,8.86,1.41,7.45,185.81
20120518,99.8,4.18,5.14,2.48,2.66,164.19,5.72,6.52,4.38,2.13,165.25
20120519,99.96,2.34,5.55,0.41,5.15,143.31,3.18,7.7,0.33,7.38,141.69
20120520,99.91,3.08,5.92,1.38,4.54,175.12,4.17,8.27,1.22,7.06,177.25
20120521,99.83,3.17,6.66,1.59,5.07,194.19,4.34,8.75,1.79,6.95,197.81
20120522,99.81,3.28,5.64,0.81,4.83,209.56,4.59,7.98,0.96,7.02,212.88
20120523,99.73,4.53,5.94,3.08,2.86,182.62,5.95,8.19,3.2,4.99,184.38
20120524,99.56,3.67,7.51,0.37,7.13,166.75,4.72,9.57,0.36,9.21,166.0
20120525,99.58,4.54,7.02,1.69,5.33,174.31,5.63,8.8,1.55,7.24,175.5
20120526,99.69,4.59,5.65,3.44,2.21,170.62,5.73,7.23,4.18,3.05,171.56
20120527,99.69,4.67,6.09,3.8,2.28,168.44,6.12,7.41,5.03,2.38,169.62
20120528,99.72,3.95,4.78,3.23,1.55,174.62,5.51,6.55,3.59,2.96,175.62
20120529,99.81,3.65,5.15,2.05,3.1,169.19,5.02,7.46,3.77,3.69,170.12
20120530,99.61,4.52,6.7,2.09,4.61,169.69,5.93,8.59,4.52,4.07,170.88
20120531,99.52,5.09,7.09,3.31,3.78,170.31,6.45,8.91,5.3,3.6,171.62
20120601,99.55,3.95,6.35,1.86,4.49,165.56,5.12,8.35,1.86,6.5,166.69
20120602,99.41,5.77,8.81,3.45,5.36,168.69,7.21,11.04,5.66,5.38,170.56
20120603,99.15,5.59,8.08,1.95,6.14,180.75,6.91,10.06,1.86,8.21,184.31
20120604,99.19,4.55,8.77,2.3,6.47,217.81,6.16,10.98,2.74,8.23,220.5
20120605,99.35,4.11,6.51,2.18,4.33,138.19,5.2,8.47,2.25,6.22,137.5
20120606,99.38,3.91,5.89,3.03,2.86,121.69,5.01,7.05,3.38,3.66,121.19
20120607,99.42,2.95,4.24,1.94,2.3,134.62,4.16,5.64,2.41,3.23,135.81
20120608,99.55,2.76,4.47,0.71,3.77,142.25,4.21,6.74,0.91,5.84,141.94
20120609,99.52,4.73,6.25,3.55,2.69,185.38,6.23,8.38,3.77,4.62,186.75
20120610,99.31,4.52,8.16,0.48,7.67,173.75,5.86,10.3,0.23,10.07,177.38
20120611,99.32,3.7,5.99,0.66,5.33,144.81,4.82,7.99,0.56,7.42,144.19
20120612,99.58,5.27,6.29,4.14,2.16,162.25,6.47,7.91,5.48,2.43,163.0
20120613,99.69,5.13,6.38,3.92,2.45,169.69,6.63,7.56,5.3,2.27,170.5
20120614,99.68,6.79,7.98,5.2,2.79,197.75,8.74,9.77,7.54,2.23,199.19
20120615,99.43,7.89,10.29,6.04,4.26,206.94,10.11,13.66,8.11,5.56,208.94
20120616,99.23,6.84,8.66,5.23,3.43,214.81,8.84,10.91,6.16,4.76,217.0
20120617,99.33,4.46,6.0,3.2,2.8,185.31,5.8,8.27,3.76,4.52,187.19
20120618,99.41,2.68,4.38,1.07,3.31,168.62,3.73,6.03,1.1,4.93,168.06
20120619,99.22,1.42,2.77,0.45,2.3,146.38,2.17,4.48,0.46,4.02,144.44
20120620,99.11,2.75,4.92,0.38,4.53,210.75,3.92,6.88,0.47,6.41,210.44
20120621,99.2,3.88,4.73,2.79,1.94,111.44,5.12,6.35,4.03,2.33,111.44
