,Date,PS,WS10M,WS10M_RANGE,WD10M,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,Visibility,Cloud Cover,Conditions,weather_type
0,2017-01-01,101.27,0.86,1.29,142.25,19.87,72.81,0.0,138.71,2.5,0.4,Clear,Mist
1,2017-01-02,101.27,0.95,1.33,194.31,19.83,75.44,3.69,135.58,1.1,0.7,Clear,Fog
2,2017-01-03,101.24,2.49,2.16,325.44,18.69,83.31,2.25,134.17,4.0,1.0,Clear,Smoke Or Haze
3,2017-01-04,101.15,2.86,1.96,337.94,18.01,79.0,0.0,148.32,4.0,0.9,Clear,Smoke Or Haze
4,2017-01-05,101.13,2.8,2.2,333.69,17.16,72.5,0.0,166.91,4.0,0.7,Clear,Clear
5,2017-01-06,101.09,2.31,1.48,258.5,16.99,66.0,0.0,172.46,4.0,0.7,Clear,Clear
6,2017-01-07,100.93,1.77,2.07,249.94,17.5,60.44,0.0,169.55,3.9,0.0,Clear,Clear
7,2017-01-08,100.91,1.59,1.88,177.5,18.61,62.75,0.0,169.8,4.0,0.7,Clear,Smoke Or Haze
8,2017-01-09,100.92,1.7,2.32,206.0,18.72,69.25,0.0,157.5,4.0,0.7,Clear,Smoke Or Haze
9,2017-01-10,100.93,1.86,2.29,184.25,18.49,75.62,0.01,128.1,4.0,1.4,Clear,Smoke Or Haze
10,2017-01-11,101.05,2.57,0.99,240.56,17.4,81.81,0.0,141.38,4.0,49.5,Partially cloudy,Partially cloudy
11,2017-01-12,101.1,3.18,1.95,159.0,15.95,72.38,0.0,146.2,4.0,1.0,Clear,Clear
12,2017-01-13,101.23,2.9,1.95,252.25,14.31,68.0,0.0,150.6,4.0,0.7,Clear,Clear
13,2017-01-14,101.35,3.17,1.55,290.44,13.15,68.12,0.0,162.84,4.0,0.0,Clear,Clear
14,2017-01-15,101.39,2.92,1.82,337.88,12.82,67.44,0.0,169.2,4.0,0.0,Clear,Clear
15,2017-01-16,101.25,2.48,3.48,289.25,14.57,62.69,0.0,175.98,4.0,0.4,Clear,Clear
16,2017-01-17,101.26,1.95,2.71,272.12,17.09,63.62,0.0,170.55,4.0,0.7,Clear,Clear
17,2017-01-18,101.51,2.88,3.12,310.25,17.74,68.06,0.0,158.76,4.0,0.7,Clear,Clear
18,2017-01-19,101.5,3.57,2.98,295.44,16.68,71.12,0.0,184.61,4.0,0.7,Clear,Clear
19,2017-01-20,101.49,3.07,2.84,331.06,17.39,70.0,0.0,187.24,4.0,0.7,Clear,Clear
20,2017-01-21,101.53,3.29,1.88,340.56,16.53,67.5,0.0,189.16,4.0,0.4,Clear,Clear
21,2017-01-22,101.56,3.09,3.01,330.94,16.5,59.81,0.0,190.3,3.9,0.7,Clear,Clear
22,2017-01-23,101.46,2.96,2.35,327.0,17.38,68.31,0.0,179.21,4.0,0.0,Clear,Clear
23,2017-01-24,101.47,2.86,2.38,302.44,18.3,67.56,0.0,169.77,4.0,28.5,Partially cloudy,Partially cloudy
24,2017-01-25,101.53,2.59,2.77,271.5,18.17,67.88,0.0,181.8,4.0,0.7,Clear,Clear
25,2017-01-26,101.41,2.09,2.7,293.88,18.73,65.56,0.0,187.27,4.0,48.6,Partially cloudy,Partially cloudy
26,2017-01-27,101.24,1.86,3.45,253.62,19.68,68.81,0.07,104.93,4.0,99.6,Overcast,Overcast
27,2017-01-28,101.19,3.94,4.23,265.44,18.58,76.88,0.0,170.16,4.0,0.0,Clear,Clear
28,2017-01-29,101.35,2.45,3.88,320.19,17.76,66.5,0.0,188.57,4.0,0.7,Clear,Clear
29,2017-01-30,101.21,1.93,2.34,273.19,18.46,67.44,0.0,193.26,4.0,0.7,Clear,Clear
30,2017-01-31,101.12,1.85,2.05,230.62,18.87,73.06,0.0,170.28,4.0,0.7,Clear,Clear
31,2017-02-01,101.27,1.56,2.38,251.19,19.44,65.81,0.0,154.24,3.6,60.4,Partially cloudy,Smoke Or Haze
32,2017-02-02,101.46,2.31,3.16,245.69,18.52,65.56,0.0,148.55,4.0,91.8,Overcast,Smoke Or Haze
33,2017-02-03,101.38,2.38,2.12,268.5,17.81,65.69,0.0,174.33,4.0,59.4,Partially cloudy,Partially cloudy
34,2017-02-04,101.22,2.27,3.2,302.38,18.03,63.38,0.0,183.91,4.0,16.0,Clear,Clear
35,2017-02-05,101.08,1.98,3.33,281.25,19.4,63.31,0.0,201.27,4.0,0.0,Clear,Clear
36,2017-02-06,100.92,1.9,2.92,263.31,20.59,63.06,0.0,213.7,4.0,6.2,Clear,Clear
37,2017-02-07,100.95,2.75,1.93,244.75,20.48,65.75,0.0,197.42,4.0,0.0,Clear,Clear
38,2017-02-08,101.1,2.42,3.69,303.88,20.06,57.38,0.0,212.37,4.0,0.0,Clear,Clear
39,2017-02-09,101.02,2.16,2.7,286.75,19.62,55.56,0.0,216.68,4.0,9.6,Clear,Clear
40,2017-02-10,100.98,1.77,2.67,250.81,20.6,62.94,0.0,187.72,4.0,0.0,Clear,Clear
41,2017-02-11,101.22,1.75,2.14,204.62,20.64,61.31,0.0,175.43,4.0,20.6,Clear,Clear
42,2017-02-12,101.41,1.48,2.0,175.06,21.59,58.56,0.0,170.58,4.0,0.7,Clear,Clear
43,2017-02-13,101.53,1.5,2.73,247.62,22.11,63.5,0.0,165.74,4.0,0.9,Clear,Clear
44,2017-02-14,101.62,1.42,2.77,234.31,22.63,64.88,0.0,172.28,4.0,1.7,Clear,Smoke Or Haze
45,2017-02-15,101.57,1.7,2.52,296.44,22.77,58.88,0.0,169.46,4.0,1.3,Clear,Clear
46,2017-02-16,101.38,1.77,2.73,260.56,21.24,58.88,0.0,192.5,4.0,0.5,Clear,Clear
47,2017-02-17,101.27,1.78,1.87,216.81,21.79,69.62,0.0,186.51,4.0,3.3,Clear,Clear
48,2017-02-18,101.27,1.73,1.76,215.25,22.59,74.44,0.0,158.0,4.0,3.0,Clear,Smoke Or Haze
49,2017-02-19,101.02,2.31,1.36,201.5,22.98,79.0,0.0,155.45,4.0,1.7,Clear,Smoke Or Haze
50,2017-02-20,100.59,2.62,3.12,221.69,23.65,74.19,0.0,166.81,3.9,2.4,Clear,"Fog, Smoke Or Haze"
51,2017-02-21,100.51,4.44,3.84,183.06,24.47,73.88,0.0,204.41,4.0,1.1,Clear,Smoke Or Haze
52,2017-02-22,100.63,3.59,3.75,190.56,24.87,77.31,0.0,211.3,4.0,2.4,Clear,Clear
53,2017-02-23,100.85,2.38,2.92,212.69,24.77,60.5,0.01,192.09,4.0,2.4,Clear,Clear
54,2017-02-24,101.08,1.83,2.55,258.5,22.74,51.25,0.0,230.2,4.0,0.0,Clear,Clear
55,2017-02-25,101.07,2.3,2.46,258.62,20.81,45.69,0.0,251.91,4.0,0.0,Clear,Clear
56,2017-02-26,100.85,2.17,3.15,254.31,21.96,56.69,0.0,246.52,4.0,0.4,Clear,Clear
57,2017-02-27,101.03,2.13,2.52,226.5,22.15,63.56,0.0,242.99,4.0,0.7,Clear,Clear
58,2017-02-28,101.06,1.85,2.38,238.0,22.98,59.0,0.0,236.88,4.0,0.7,Clear,Clear
59,2017-03-01,100.96,2.26,2.77,269.94,23.02,57.0,0.0,245.45,4.0,1.8,Clear,Clear
60,2017-03-02,100.77,2.8,4.23,228.12,24.33,65.06,0.0,240.7,4.0,0.9,Clear,Clear
61,2017-03-03,100.49,2.99,4.12,217.44,25.09,56.19,0.0,239.18,4.0,0.0,Clear,Clear
62,2017-03-04,100.48,2.93,2.84,190.75,24.78,62.94,0.0,219.2,4.0,1.5,Clear,Clear
63,2017-03-05,100.41,2.85,4.24,204.31,26.15,73.06,1.88,181.59,4.0,41.4,Partially cloudy,Partially cloudy
64,2017-03-06,100.55,2.44,4.12,165.06,25.44,52.31,1.02,195.35,4.0,1.2,Clear,Clear
65,2017-03-07,100.63,2.01,2.36,210.44,24.24,43.56,0.03,209.4,4.0,1.5,Clear,Clear
66,2017-03-08,100.56,1.71,2.2,194.44,23.33,80.94,4.97,52.04,3.9,99.5,Overcast,Overcast
67,2017-03-09,100.39,2.73,3.39,171.69,25.17,74.5,2.49,147.96,4.0,3.9,Clear,Smoke Or Haze
68,2017-03-10,100.28,3.44,4.98,174.19,26.76,72.62,8.7,150.47,4.0,96.9,Overcast,Smoke Or Haze
69,2017-03-11,100.34,4.03,4.06,195.06,26.51,75.69,21.85,183.2,4.0,45.8,Partially cloudy,Partially cloudy
70,2017-03-12,100.67,2.53,1.41,132.12,24.25,64.69,0.83,213.48,4.0,4.8,Clear,Clear
71,2017-03-13,101.02,2.09,3.07,229.56,21.9,46.06,0.0,245.76,4.0,3.3,Clear,Clear
72,2017-03-14,101.09,1.66,2.87,200.12,22.66,44.69,0.0,257.52,4.0,0.7,Clear,Clear
73,2017-03-15,101.01,2.08,3.07,267.56,22.73,46.38,0.0,256.12,4.0,9.5,Clear,Clear
74,2017-03-16,100.81,1.71,2.43,250.81,23.04,50.5,0.0,252.76,4.0,0.7,Clear,Clear
75,2017-03-17,100.62,2.78,3.45,218.0,24.04,62.31,0.0,258.81,4.0,18.0,Clear,Clear
76,2017-03-18,100.58,2.99,4.06,218.62,25.94,56.56,0.06,225.61,4.0,33.0,Partially cloudy,Partially cloudy
77,2017-03-19,100.78,2.02,2.55,164.06,26.16,65.44,4.65,203.25,3.4,30.0,Partially cloudy,Partially cloudy
78,2017-03-20,100.87,2.86,4.26,133.44,23.19,61.38,8.81,211.6,3.4,38.4,Partially cloudy,Partially cloudy
79,2017-03-21,101.0,1.59,1.88,211.44,24.58,56.62,0.0,248.7,4.0,23.8,Clear,Clear
80,2017-03-22,100.82,2.34,2.88,213.62,24.66,67.06,0.0,260.23,4.0,18.0,Clear,Clear
81,2017-03-23,100.64,2.5,3.23,211.44,26.37,67.31,0.0,263.12,4.0,18.0,Clear,Clear
82,2017-03-24,100.6,2.18,2.54,220.31,27.85,63.62,0.0,256.51,4.0,20.6,Clear,Clear
83,2017-03-25,100.62,3.18,4.04,185.81,28.21,68.06,0.0,242.42,4.0,18.0,Clear,Clear
84,2017-03-26,100.69,3.08,3.59,180.69,28.61,69.69,0.03,209.48,4.0,50.8,Partially cloudy,Partially cloudy
85,2017-03-27,100.67,3.25,4.98,194.56,28.76,65.19,0.0,260.99,4.0,20.8,Clear,Clear
86,2017-03-28,100.52,3.8,4.29,190.25,29.83,65.31,0.0,257.14,4.0,32.0,Partially cloudy,Partially cloudy
87,2017-03-29,100.41,3.0,4.23,206.19,29.87,65.12,0.0,250.07,4.0,33.0,Partially cloudy,Partially cloudy
88,2017-03-30,100.4,5.13,3.39,179.38,30.19,67.44,0.0,273.56,4.0,32.0,Partially cloudy,Partially cloudy
89,2017-03-31,100.55,3.45,4.91,183.75,30.07,66.94,0.0,267.29,4.0,28.5,Partially cloudy,Partially cloudy
90,2017-04-01,100.39,4.71,3.89,179.62,30.03,69.31,0.0,250.94,4.0,61.8,Partially cloudy,Partially cloudy
91,2017-04-02,100.2,5.34,4.55,180.31,30.52,67.5,0.03,229.2,4.0,66.5,Partially cloudy,Partially cloudy
92,2017-04-03,100.25,5.3,2.83,189.31,31.42,62.25,0.29,238.02,4.0,58.0,Partially cloudy,Partially cloudy
93,2017-04-04,100.36,5.37,3.52,180.75,30.83,63.56,0.15,244.94,4.0,41.2,Partially cloudy,Partially cloudy
94,2017-04-05,100.34,4.14,4.15,171.94,30.42,67.88,0.71,212.24,4.0,80.0,Overcast,Overcast
95,2017-04-06,100.38,4.64,3.43,156.19,30.15,70.44,1.15,184.8,3.5,70.5,Partially cloudy,Partially cloudy
96,2017-04-07,100.38,4.33,3.11,167.31,30.93,68.0,0.62,195.33,4.0,37.1,Partially cloudy,Partially cloudy
97,2017-04-08,100.38,4.19,3.27,172.12,30.78,69.88,2.84,207.31,3.4,41.6,Partially cloudy,Partially cloudy
98,2017-04-09,100.39,2.36,3.84,221.44,31.4,63.88,4.33,196.48,4.0,0.0,Clear,Clear
99,2017-04-10,100.34,2.48,3.3,230.38,30.69,59.56,0.44,238.2,3.4,34.8,Partially cloudy,Partially cloudy
100,2017-04-11,100.36,2.57,3.11,249.0,29.97,50.19,0.0,281.62,4.0,26.6,Partially cloudy,Partially cloudy
101,2017-04-12,100.41,2.29,3.13,211.0,29.01,56.81,0.0,291.06,4.0,21.2,Clear,Clear
102,2017-04-13,100.48,4.29,3.89,180.38,29.19,61.88,0.0,271.35,4.0,38.6,Partially cloudy,Partially cloudy
103,2017-04-14,100.46,5.2,5.38,171.25,29.19,62.06,0.0,274.32,4.0,2.0,Clear,Clear
104,2017-04-15,100.27,5.85,6.59,176.38,28.92,65.44,0.0,273.12,4.0,2.0,Clear,Clear
105,2017-04-16,100.24,2.99,3.88,172.19,30.58,58.06,0.15,262.67,4.0,74.2,Partially cloudy,Partially cloudy
106,2017-04-17,100.39,2.02,6.13,202.0,30.62,56.44,0.29,290.16,4.0,29.1,Partially cloudy,Partially cloudy
107,2017-04-18,100.34,5.34,6.42,181.31,30.73,63.69,0.0,261.55,4.0,12.1,Clear,Clear
108,2017-04-19,100.14,6.8,5.11,186.81,31.81,62.44,2.98,232.25,4.0,31.5,Partially cloudy,Partially cloudy
109,2017-04-20,100.04,6.5,3.1,172.88,30.97,68.5,3.85,215.85,4.0,42.5,Partially cloudy,Partially cloudy
110,2017-04-21,100.02,5.39,4.98,172.38,32.14,64.94,0.21,246.47,4.0,15.9,Clear,Clear
111,2017-04-22,99.96,5.7,4.75,174.94,32.51,64.12,2.91,208.97,4.0,97.6,Overcast,Overcast
112,2017-04-23,100.03,4.51,3.58,178.0,31.54,67.69,5.54,195.21,4.0,96.3,Overcast,Overcast
113,2017-04-24,100.02,4.72,5.43,183.06,32.1,64.25,0.75,238.79,4.0,98.0,Overcast,Overcast
114,2017-04-25,99.95,4.22,6.73,187.38,32.76,59.88,0.0,285.05,4.0,2.4,Clear,Clear
115,2017-04-26,100.11,2.8,5.14,172.0,32.92,52.38,0.0,265.5,4.0,48.1,Partially cloudy,Partially cloudy
116,2017-04-27,100.32,4.63,2.81,177.94,32.14,59.69,0.49,252.04,4.0,57.1,Partially cloudy,Partially cloudy
117,2017-04-28,100.3,3.26,4.88,171.62,32.26,59.69,1.03,261.57,4.0,1.1,Clear,Clear
118,2017-04-29,100.35,4.79,3.29,177.75,32.82,57.25,0.01,273.0,4.0,0.9,Clear,Clear
119,2017-04-30,100.34,5.95,4.36,171.69,32.33,59.38,2.72,263.29,4.0,2.4,Clear,Clear
120,2017-05-01,100.52,4.4,2.36,169.25,29.73,71.31,11.99,211.69,4.0,97.2,Overcast,Overcast
121,2017-05-02,100.62,3.78,3.17,181.38,30.95,62.06,1.17,236.52,4.0,80.1,Overcast,Overcast
122,2017-05-03,100.53,3.55,3.26,185.88,31.65,61.19,1.0,267.4,4.0,1.6,Clear,Clear
123,2017-05-04,100.42,3.43,4.98,185.25,32.49,58.38,0.06,274.73,4.0,1.3,Clear,Clear
124,2017-05-05,100.31,4.7,4.55,188.5,33.19,56.62,0.06,259.29,4.0,1.8,Clear,Clear
125,2017-05-06,100.44,4.52,5.87,182.94,33.13,58.06,1.26,264.82,4.0,49.9,Partially cloudy,Partially cloudy
126,2017-05-07,100.39,4.33,5.76,193.69,33.54,54.25,0.41,270.77,4.0,30.4,Partially cloudy,Partially cloudy
127,2017-05-08,100.38,5.02,3.85,167.5,32.3,57.88,1.23,271.65,4.0,2.6,Clear,Clear
128,2017-05-09,100.33,4.84,2.91,167.75,31.37,63.69,3.3,234.03,4.0,57.3,Partially cloudy,Partially cloudy
129,2017-05-10,100.47,3.3,3.56,185.5,30.66,65.81,5.4,261.55,4.0,87.8,Overcast,Overcast
130,2017-05-11,100.43,3.8,4.03,183.0,32.14,60.81,5.43,280.48,4.0,82.1,Overcast,Overcast
131,2017-05-12,100.38,3.17,5.33,213.88,32.38,60.31,6.85,279.47,4.0,40.5,Partially cloudy,Partially cloudy
132,2017-05-13,100.13,2.72,5.3,208.31,33.5,58.12,1.83,250.05,4.0,1.8,Clear,Clear
133,2017-05-14,99.96,3.66,5.53,184.19,33.0,63.62,6.05,274.66,4.0,3.2,Clear,Clear
134,2017-05-15,99.79,5.0,5.08,173.38,33.1,66.06,2.03,250.68,4.0,2.4,Clear,Clear
135,2017-05-16,99.73,5.8,3.62,169.81,32.47,67.19,3.28,203.23,4.0,45.6,Partially cloudy,Partially cloudy
136,2017-05-17,99.77,2.78,3.05,149.5,32.36,68.56,1.88,210.33,4.0,60.7,Partially cloudy,Partially cloudy
137,2017-05-18,99.94,3.59,3.24,171.81,32.0,70.69,4.82,230.45,4.0,4.8,Clear,Clear
138,2017-05-19,100.03,3.05,5.05,182.81,33.12,62.38,1.86,263.67,4.0,40.6,Partially cloudy,Partially cloudy
139,2017-05-20,99.85,4.27,3.83,204.81,33.4,62.12,9.13,268.48,4.0,2.6,Clear,Clear
140,2017-05-21,99.8,3.29,5.91,195.81,33.23,61.69,5.39,283.09,4.0,3.1,Clear,Clear
141,2017-05-22,99.93,4.55,3.82,195.75,33.15,63.31,1.91,274.4,4.0,2.0,Clear,Clear
142,2017-05-23,100.05,4.18,1.23,184.62,30.8,76.69,12.41,256.7,4.0,39.0,Partially cloudy,Partially cloudy
143,2017-05-24,100.02,4.03,1.98,191.19,31.12,74.69,2.69,255.11,4.0,59.4,Partially cloudy,Partially cloudy
144,2017-05-25,99.93,4.86,4.4,188.56,32.12,67.81,0.09,281.86,4.0,29.5,Partially cloudy,Partially cloudy
145,2017-05-26,99.94,5.02,3.88,182.44,32.29,66.56,20.48,257.14,4.0,68.3,Partially cloudy,Partially cloudy
146,2017-05-27,99.97,2.72,3.07,164.31,30.55,74.25,10.85,263.31,4.0,40.7,Partially cloudy,Partially cloudy
147,2017-05-28,99.83,2.24,2.33,180.12,30.88,69.31,1.22,266.62,4.0,38.5,Partially cloudy,Partially cloudy
148,2017-05-29,99.59,2.2,1.56,157.0,31.66,61.5,3.47,239.23,4.0,58.8,Partially cloudy,Partially cloudy
149,2017-05-30,99.41,2.29,4.62,202.5,32.72,62.38,1.99,234.21,4.0,56.9,Partially cloudy,Partially cloudy
150,2017-05-31,99.7,3.16,3.75,179.81,32.75,66.06,4.21,190.46,3.9,78.7,Overcast,"Thunderstorm Without Precipitation, Sky Unchanged"
151,2017-06-01,99.82,5.21,4.66,182.94,31.6,74.38,4.77,229.05,4.0,68.1,Partially cloudy,Partially cloudy
152,2017-06-02,99.92,5.9,2.66,188.44,30.97,76.62,3.16,252.59,4.0,0.7,Clear,Clear
153,2017-06-03,99.82,5.89,3.95,194.0,32.92,68.31,0.86,276.95,4.0,2.2,Clear,Clear
154,2017-06-04,99.65,5.38,3.33,188.62,34.02,65.12,0.0,274.43,4.0,1.6,Clear,Clear
155,2017-06-05,99.7,5.22,2.96,169.56,33.61,64.06,0.15,225.89,4.0,57.5,Partially cloudy,Partially cloudy
156,2017-06-06,99.96,2.97,1.12,160.44,32.08,66.12,3.48,231.45,4.0,68.4,Partially cloudy,Partially cloudy
157,2017-06-07,99.99,2.84,2.11,192.38,31.47,66.56,0.43,263.7,4.0,2.0,Clear,Clear
158,2017-06-08,99.84,2.87,3.77,170.75,32.39,63.06,0.11,233.73,4.0,59.3,Partially cloudy,Partially cloudy
159,2017-06-09,99.75,2.73,3.6,142.81,31.69,65.5,1.82,205.15,4.0,59.3,Partially cloudy,Partially cloudy
160,2017-06-10,99.68,1.99,3.28,103.25,28.9,78.12,4.72,212.34,4.0,41.2,Partially cloudy,Partially cloudy
161,2017-06-11,99.46,3.14,4.67,88.88,30.51,72.5,4.28,199.98,4.0,98.8,Overcast,Overcast
162,2017-06-12,99.47,3.64,4.7,231.12,30.23,73.69,2.95,189.21,4.0,61.2,Partially cloudy,Partially cloudy
163,2017-06-13,99.64,5.33,3.24,206.62,31.44,70.12,0.57,205.53,4.0,59.5,Partially cloudy,Partially cloudy
164,2017-06-14,99.89,4.51,3.45,186.44,31.26,68.69,0.03,219.91,4.0,98.8,Overcast,Overcast
165,2017-06-15,99.84,3.66,1.35,166.5,31.11,70.75,1.97,193.41,4.0,41.3,Partially cloudy,Partially cloudy
166,2017-06-16,99.81,3.34,2.41,217.38,29.79,79.94,18.26,165.37,4.0,88.4,Overcast,Overcast
167,2017-06-17,99.81,4.39,3.23,207.25,31.08,70.25,5.41,234.22,4.0,3.9,Clear,Clear
168,2017-06-18,99.66,5.1,3.02,200.12,31.5,71.12,1.86,225.43,4.0,39.0,Partially cloudy,Partially cloudy
169,2017-06-19,99.62,5.27,1.52,198.31,29.18,87.44,53.45,237.21,4.0,0.7,Clear,Clear
170,2017-06-20,99.7,3.29,2.45,189.56,28.23,89.31,33.56,78.77,4.0,100.0,Overcast,Heavy Rain
171,2017-06-21,99.72,1.89,2.96,193.56,28.26,84.75,8.69,218.48,4.0,65.3,Partially cloudy,Partially cloudy
172,2017-06-22,99.72,2.55,2.79,208.31,28.74,85.0,4.59,232.73,4.0,40.5,Partially cloudy,Partially cloudy
173,2017-06-23,99.69,2.98,2.09,185.5,28.59,84.81,12.67,222.04,4.0,59.9,Partially cloudy,Partially cloudy
174,2017-06-24,99.55,1.95,1.46,151.06,28.76,82.69,21.99,190.33,4.0,98.5,Overcast,Overcast
175,2017-06-25,99.54,3.3,4.46,132.62,28.81,81.06,2.57,214.76,4.0,98.2,Overcast,Overcast
176,2017-06-26,99.64,3.98,4.45,109.88,28.98,83.19,4.12,215.25,4.0,88.9,Overcast,Overcast
177,2017-06-27,99.68,4.8,4.53,136.38,28.69,84.94,7.57,185.37,4.0,98.2,Overcast,Overcast
178,2017-06-28,99.73,4.74,3.87,136.25,28.51,87.38,5.22,169.38,4.0,98.0,Overcast,Overcast
179,2017-06-29,99.69,2.91,2.05,153.69,28.87,84.56,4.72,208.51,4.0,79.3,Overcast,Overcast
180,2017-07-01,99.39,3.27,1.38,194.0,29.59,85.19,13.53,125.36,4.0,89.0,Overcast,Overcast
181,2017-07-02,99.48,4.19,5.34,234.5,29.56,81.81,5.98,82.07,4.0,99.1,Overcast,Overcast
182,2017-07-03,99.62,4.23,2.33,231.5,29.18,82.88,10.07,176.67,4.0,97.9,Overcast,Overcast
183,2017-07-04,99.59,4.46,2.93,220.5,29.11,81.81,6.72,120.64,4.0,97.8,Overcast,Overcast
184,2017-07-05,99.64,4.57,4.02,213.88,29.89,79.12,4.41,138.7,4.0,98.8,Overcast,Overcast
185,2017-07-06,99.72,3.16,1.9,207.44,29.9,80.12,6.22,94.59,4.0,98.3,Overcast,Overcast
186,2017-07-07,99.75,4.11,2.04,199.12,29.44,82.69,5.46,118.91,4.0,98.0,Overcast,Overcast
187,2017-07-08,99.73,3.95,2.67,178.25,28.95,86.69,10.76,196.73,4.0,76.9,Overcast,Overcast
188,2017-07-09,99.85,5.57,2.0,174.69,29.23,84.25,11.21,215.48,4.0,60.4,Partially cloudy,Partially cloudy
189,2017-07-10,99.9,4.78,3.45,187.75,28.76,88.25,11.42,168.09,4.0,98.2,Overcast,Overcast
190,2017-07-11,99.78,2.06,3.29,164.88,28.94,85.0,16.4,85.36,3.9,99.6,Overcast,Overcast
191,2017-07-12,99.82,2.53,4.96,259.12,27.94,87.81,21.07,149.02,4.0,99.5,Overcast,Overcast
192,2017-07-13,99.85,2.03,1.88,146.25,27.62,87.31,9.08,152.15,4.0,98.0,Overcast,Overcast
193,2017-07-14,99.76,2.39,2.48,138.88,28.19,85.62,6.05,166.7,4.0,97.8,Overcast,Overcast
194,2017-07-15,99.72,2.79,2.43,137.44,28.28,86.69,3.65,192.02,4.0,97.7,Overcast,Overcast
195,2017-07-16,99.6,2.85,4.33,97.0,28.21,87.44,3.34,228.24,4.0,99.3,Overcast,Overcast
196,2017-07-17,99.53,4.27,4.88,77.12,28.76,86.44,3.23,205.16,4.0,97.8,Overcast,Overcast
197,2017-07-18,99.54,5.08,4.59,100.81,28.77,86.62,4.86,225.04,4.0,89.4,Overcast,Overcast
198,2017-07-19,99.41,4.87,3.78,140.62,28.31,88.38,25.27,153.05,4.0,98.6,Overcast,Overcast
199,2017-07-20,99.46,6.09,5.7,171.0,28.15,89.31,74.84,96.56,4.0,98.8,Overcast,Overcast
200,2017-07-21,99.68,3.23,2.59,197.62,28.47,90.31,87.45,112.22,4.0,99.2,Overcast,Overcast
201,2017-07-22,99.7,3.55,2.55,246.62,28.19,92.06,40.28,54.6,3.9,99.8,Overcast,Heavy Rain
202,2017-07-23,99.62,4.48,3.35,219.12,27.3,94.06,87.94,56.56,3.9,99.8,Overcast,Light Rain
203,2017-07-24,99.44,7.48,4.34,219.5,27.33,93.0,80.45,57.82,3.9,99.8,Overcast,Rain
204,2017-07-25,99.48,6.04,3.8,204.62,27.45,90.12,44.71,97.25,4.0,100.0,Overcast,Light Rain
205,2017-07-26,99.72,4.23,4.01,182.44,27.67,90.31,11.43,101.06,4.0,99.3,Overcast,Overcast
206,2017-07-27,99.92,3.18,1.99,187.25,27.95,87.88,3.09,202.75,4.0,79.9,Overcast,Overcast
207,2017-07-28,100.07,2.44,1.5,203.38,28.27,88.56,2.58,227.65,4.0,40.7,Partially cloudy,Partially cloudy
208,2017-07-29,100.1,2.05,1.73,201.75,28.38,87.69,2.49,215.66,4.0,58.4,Partially cloudy,Partially cloudy
209,2017-07-30,100.0,1.58,1.2,212.56,28.04,91.25,11.44,158.71,4.0,99.4,Overcast,Overcast
210,2017-07-31,99.95,1.92,2.17,211.75,28.87,85.81,8.04,225.56,4.0,68.9,Partially cloudy,Partially cloudy
211,2017-08-01,99.92,1.98,1.62,233.38,29.01,86.5,10.59,223.78,4.0,87.5,Overcast,Overcast
212,2017-08-02,99.8,2.1,2.8,227.38,29.1,87.88,4.06,174.59,4.0,95.8,Overcast,Overcast
213,2017-08-03,99.65,2.05,1.56,266.88,28.33,90.75,6.46,151.22,4.0,97.4,Overcast,Overcast
214,2017-08-04,99.49,2.41,1.67,300.31,28.26,91.19,16.39,174.23,4.0,98.3,Overcast,Overcast
215,2017-08-05,99.45,2.8,2.04,173.81,28.48,91.56,28.09,123.09,4.0,99.0,Overcast,Overcast
216,2017-08-06,99.59,4.02,5.61,200.0,28.27,91.25,2.73,196.53,4.0,92.7,Overcast,Overcast
217,2017-08-07,99.95,3.5,2.91,158.94,28.55,89.25,1.22,146.2,4.0,61.8,Partially cloudy,Partially cloudy
218,2017-08-08,100.0,3.46,2.26,171.0,28.8,88.5,2.87,211.28,4.0,98.5,Overcast,Overcast
219,2017-08-09,100.0,5.34,2.49,185.06,28.44,89.38,6.54,225.24,4.0,78.2,Overcast,Overcast
220,2017-08-10,99.89,4.8,2.14,202.62,28.49,89.44,14.85,183.2,4.0,60.5,Partially cloudy,Partially cloudy
221,2017-08-11,99.88,4.4,2.33,210.56,27.98,90.94,17.49,134.3,4.0,98.7,Overcast,Overcast
222,2017-08-12,99.96,3.93,2.45,205.62,28.15,91.38,14.34,78.49,4.0,99.2,Overcast,Overcast
223,2017-08-13,100.14,2.12,2.52,191.25,28.08,88.75,13.06,97.23,4.0,98.8,Overcast,Light Rain
224,2017-08-14,100.24,2.35,2.27,241.12,27.37,93.12,21.35,141.52,3.9,99.0,Overcast,Overcast
225,2017-08-15,100.08,2.41,0.98,217.56,27.95,90.44,29.46,210.07,4.0,95.8,Overcast,Overcast
226,2017-08-16,99.85,2.49,1.69,226.88,28.42,89.5,7.41,154.59,4.0,78.6,Overcast,Overcast
227,2017-08-17,99.67,2.91,1.47,177.12,27.68,88.94,7.01,178.96,4.0,99.0,Overcast,Overcast
228,2017-08-18,99.71,3.73,3.23,115.94,27.68,90.56,7.39,180.05,4.0,97.8,Overcast,Overcast
229,2017-08-19,99.96,4.8,4.3,113.88,27.71,90.5,11.81,183.77,4.0,88.3,Overcast,Overcast
