,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
20120101,150.58,176.69,0.53,380.0,70.57,81.57,9.51,0.21,1.07
20120102,96.89,171.78,0.34,390.42,46.88,78.17,6.64,0.14,0.73
20120103,123.61,161.46,0.44,385.35,57.06,71.63,7.42,0.16,0.8
20120104,81.25,138.21,0.29,385.75,38.05,59.4,4.73,0.1,0.53
20120105,98.29,123.83,0.34,379.76,41.85,50.53,4.5,0.09,0.51
20120106,85.48,121.39,0.3,388.27,37.38,50.25,4.13,0.09,0.47
20120107,47.61,141.29,0.16,392.66,23.48,61.6,3.23,0.07,0.38
20120108,61.59,164.38,0.22,394.63,31.24,74.35,4.61,0.11,0.55
20120109,77.07,163.61,0.27,388.44,38.81,73.71,5.59,0.13,0.71
20120110,62.68,154.27,0.22,388.67,30.91,67.99,4.31,0.09,0.48
20120111,131.27,143.46,0.45,354.5,56.36,61.45,6.48,0.13,0.68
20120112,173.76,178.02,0.6,325.1,75.64,77.93,9.37,0.2,1.03
20120113,160.58,168.53,0.55,310.89,67.13,70.51,7.94,0.17,0.88
20120114,158.48,163.07,0.54,304.84,64.52,66.74,7.3,0.15,0.76
20120115,171.42,177.18,0.59,312.12,73.58,76.24,9.01,0.2,0.98
20120116,162.78,165.67,0.55,327.57,69.46,71.16,8.08,0.16,0.84
20120117,189.43,191.29,0.64,332.3,83.72,85.04,10.59,0.23,1.18
20120118,165.35,173.04,0.55,352.27,71.8,75.16,9.1,0.2,1.01
20120119,132.66,164.37,0.45,379.9,60.0,71.61,7.8,0.19,0.97
20120120,141.16,167.41,0.47,381.53,64.16,73.77,8.19,0.2,1.07
20120121,144.55,150.38,0.48,338.2,58.92,61.18,6.41,0.16,0.83
20120122,179.03,185.74,0.59,310.88,76.44,79.35,9.37,0.24,1.29
20120123,182.09,188.62,0.6,319.59,78.79,81.73,9.7,0.24,1.27
20120124,173.54,179.95,0.57,338.6,76.13,79.09,9.27,0.23,1.2
20120125,163.52,168.82,0.53,344.43,70.76,73.32,8.3,0.2,1.05
20120126,141.76,160.0,0.46,359.2,61.88,68.78,7.16,0.18,0.96
20120127,158.48,163.15,0.52,353.89,68.52,70.86,7.88,0.2,1.02
20120128,169.59,174.88,0.55,347.64,73.6,76.16,8.72,0.21,1.11
20120129,78.84,170.88,0.25,372.02,37.97,74.88,4.98,0.12,0.66
20120130,178.56,184.59,0.57,345.77,78.81,81.6,9.69,0.24,1.26
20120131,186.96,193.43,0.59,332.27,82.28,85.16,10.31,0.26,1.37
20120201,178.38,188.74,0.56,340.4,78.16,82.38,9.58,0.24,1.3
20120202,185.33,192.62,0.58,321.09,78.62,81.68,9.46,0.24,1.28
20120203,199.1,205.88,0.62,315.89,85.8,88.76,10.72,0.27,1.41
20120204,198.9,204.18,0.62,324.59,87.27,89.77,10.95,0.25,1.3
20120205,202.46,207.23,0.62,335.2,89.59,91.92,11.45,0.27,1.34
20120206,203.45,211.07,0.62,350.69,89.85,93.12,11.45,0.27,1.4
20120207,198.38,206.05,0.6,353.01,87.99,91.28,11.2,0.27,1.43
20120208,177.98,197.66,0.54,365.62,78.99,86.55,9.91,0.25,1.32
20120209,176.45,183.47,0.53,357.19,76.17,79.05,8.98,0.21,1.08
20120210,186.73,199.66,0.56,330.77,80.55,85.71,9.84,0.23,1.19
20120211,190.73,200.48,0.57,328.87,82.05,85.88,9.93,0.22,1.12
20120212,202.16,209.07,0.6,324.88,87.41,90.26,10.8,0.24,1.23
20120213,198.62,203.73,0.59,343.07,86.91,89.14,10.62,0.23,1.17
20120214,182.79,191.63,0.54,379.19,80.87,84.42,9.66,0.22,1.1
20120215,174.77,180.49,0.51,393.41,76.55,78.66,8.86,0.2,0.99
20120216,89.3,192.28,0.26,405.55,43.65,84.97,6.05,0.15,0.76
20120217,201.32,210.28,0.58,377.05,90.56,94.49,11.44,0.27,1.39
20120218,210.6,215.66,0.6,349.59,91.61,93.85,11.38,0.27,1.38
20120219,201.72,215.32,0.58,356.69,89.86,95.57,11.34,0.28,1.45
20120220,229.72,239.78,0.66,339.2,101.53,105.73,13.38,0.33,1.66
20120221,229.19,236.98,0.65,348.39,102.88,106.19,13.58,0.33,1.66
20120222,233.48,240.07,0.66,350.05,104.22,107.1,13.85,0.34,1.73
20120223,239.96,247.8,0.67,348.68,106.35,109.8,14.21,0.37,1.91
20120224,251.69,257.47,0.7,349.12,111.97,114.49,15.33,0.41,2.11
20120225,245.94,250.87,0.68,358.92,110.3,112.64,14.93,0.39,2.02
20120226,240.45,244.9,0.66,356.3,106.53,108.62,14.15,0.36,1.84
20120227,257.09,264.8,0.7,343.04,112.93,116.01,15.51,0.38,1.95
20120228,240.4,249.77,0.66,353.7,106.61,110.43,14.25,0.36,1.84
20120229,210.09,217.3,0.57,383.1,91.61,94.57,11.28,0.27,1.34
20120301,224.52,229.59,0.61,366.13,97.3,99.63,12.01,0.28,1.41
20120302,207.68,213.35,0.55,388.45,90.74,93.19,10.91,0.25,1.28
20120303,223.29,231.4,0.59,369.44,98.35,101.77,12.31,0.3,1.52
20120304,245.59,257.59,0.66,355.13,108.42,113.24,14.22,0.37,1.91
20120305,230.78,242.95,0.61,380.18,102.53,107.16,13.08,0.37,1.95
20120306,221.48,231.68,0.59,384.47,97.87,101.84,12.14,0.33,1.72
20120307,230.13,242.31,0.6,382.11,101.12,106.07,12.86,0.34,1.73
20120308,216.81,231.01,0.56,377.35,94.17,99.8,11.84,0.31,1.65
20120309,198.98,205.93,0.52,398.73,85.01,87.79,10.18,0.25,1.3
20120310,214.45,219.55,0.55,394.99,92.63,94.67,11.42,0.3,1.59
20120311,226.28,238.29,0.59,378.21,100.16,105.1,12.43,0.34,1.79
20120312,234.87,244.93,0.6,372.59,102.99,107.05,12.83,0.36,1.88
20120313,204.95,246.71,0.52,387.35,91.59,108.31,11.73,0.32,1.67
20120314,223.35,235.04,0.57,386.85,98.2,102.75,11.9,0.31,1.61
20120315,245.41,256.21,0.62,356.52,106.87,111.1,13.35,0.36,1.88
20120316,237.91,250.74,0.6,369.94,103.84,108.95,12.86,0.33,1.67
20120317,221.59,238.91,0.55,396.23,98.31,104.9,11.84,0.29,1.48
20120318,227.79,241.48,0.57,399.93,100.89,106.16,12.14,0.3,1.53
20120319,202.61,227.16,0.51,399.99,87.98,97.1,10.04,0.25,1.27
20120320,206.46,220.09,0.51,391.56,87.9,93.18,9.77,0.24,1.23
20120321,245.09,257.85,0.6,396.41,108.33,113.34,13.4,0.36,-999.0
20120322,245.02,256.8,0.6,407.05,109.09,113.53,13.48,0.36,1.86
20120323,264.46,277.26,0.65,379.33,115.23,120.05,14.59,0.39,2.01
20120324,266.04,278.16,0.65,375.68,116.22,120.81,14.74,0.39,2.04
20120325,252.2,262.29,0.61,395.39,111.49,115.35,13.69,0.37,1.9
20120326,244.84,259.48,0.59,407.48,108.89,114.38,13.38,0.36,1.9
20120327,252.2,270.23,0.61,396.27,110.98,117.8,13.8,0.36,1.82
20120328,242.6,265.34,0.59,393.75,106.71,115.3,13.25,0.34,1.73
20120329,238.84,258.0,0.57,402.16,104.35,111.66,12.62,0.31,1.59
20120330,234.53,248.23,0.56,410.29,103.65,109.01,12.36,0.31,1.58
20120331,184.7,229.45,0.44,424.34,83.45,101.21,9.68,0.25,1.27
20120401,222.91,231.9,0.53,409.99,96.75,100.28,11.14,0.26,1.32
20120402,253.0,259.48,0.6,413.69,112.93,115.43,13.85,0.33,1.65
20120403,234.38,244.83,0.55,421.4,103.52,107.36,12.16,0.29,1.48
20120404,241.34,258.99,0.57,427.41,107.64,114.32,13.09,0.33,1.66
20120405,212.9,247.35,0.5,429.76,96.21,109.52,11.62,0.3,1.52
20120406,230.05,261.19,0.54,415.35,105.92,118.6,13.23,0.34,1.77
20120407,226.79,261.85,0.53,418.86,104.51,118.16,13.06,0.34,1.7
20120408,219.48,272.4,0.51,419.38,102.17,124.22,13.27,0.36,1.88
20120409,256.03,272.68,0.59,418.97,118.59,124.62,15.08,0.39,2.0
20120410,221.27,269.95,0.52,425.85,103.88,122.61,13.25,0.35,1.78
20120411,245.66,281.5,0.57,417.26,115.65,129.83,15.22,0.41,2.11
20120412,273.27,288.15,0.63,408.32,126.17,131.88,16.37,0.44,2.24
20120413,234.64,285.35,0.54,427.11,109.75,130.75,14.29,0.39,2.0
20120414,267.88,284.75,0.62,428.85,123.98,130.31,16.06,0.43,2.2
20120415,251.01,281.54,0.57,425.57,117.32,129.46,15.05,0.4,2.04
20120416,243.16,266.05,0.55,421.93,111.02,119.66,13.71,0.36,1.84
20120417,267.13,277.24,0.61,418.87,120.4,123.67,14.98,0.39,2.03
20120418,265.62,285.34,0.6,428.66,123.26,130.57,15.9,0.43,2.21
20120419,276.33,286.78,0.62,428.15,128.54,132.12,16.54,0.45,2.3
20120420,251.39,275.56,0.57,433.28,116.2,125.29,14.55,0.39,2.02
20120421,278.74,288.35,0.63,416.16,125.91,128.92,15.95,0.41,2.12
20120422,283.97,294.27,0.64,416.79,129.91,133.25,16.71,0.45,2.29
20120423,236.9,276.2,0.53,441.34,111.13,126.49,14.16,0.39,2.02
20120424,276.01,290.26,0.62,434.54,127.85,132.73,16.52,0.46,2.43
20120425,259.41,300.79,0.58,432.13,122.22,138.49,16.3,0.46,2.4
20120426,253.97,285.33,0.57,438.66,119.38,131.22,15.33,0.41,2.14
20120427,209.61,272.93,0.47,446.05,97.52,123.84,12.17,0.33,1.7
20120428,265.57,287.55,0.59,435.97,124.73,133.17,16.08,0.44,2.29
20120429,249.88,287.14,0.55,441.2,117.78,132.24,15.16,0.42,2.2
20120430,274.91,290.12,0.61,438.99,127.77,132.98,16.39,0.44,2.28
20120501,248.32,282.96,0.55,440.3,116.37,129.58,14.85,0.4,2.07
20120502,254.06,282.46,0.56,433.23,117.96,128.34,14.8,0.39,1.99
20120503,227.93,282.2,0.51,438.24,106.9,128.11,13.72,0.37,1.9
20120504,244.68,278.33,0.54,425.58,113.77,126.2,14.37,0.38,1.93
20120505,275.8,300.26,0.61,412.17,128.24,137.15,16.61,0.43,2.21
20120506,280.11,292.2,0.62,414.16,128.96,132.87,16.3,0.41,-999.0
20120507,272.48,288.38,0.6,418.93,123.98,129.34,15.52,0.4,2.03
20120508,280.58,290.85,0.62,430.25,128.65,131.65,16.23,0.43,2.21
20120509,243.95,281.68,0.54,432.16,115.71,129.79,14.67,0.4,2.08
20120510,272.26,283.38,0.6,427.56,126.2,129.64,15.85,0.41,2.08
20120511,275.06,285.9,0.6,434.58,127.32,130.55,16.01,0.41,2.14
20120512,257.77,274.48,0.56,432.16,120.29,126.07,15.03,0.41,2.1
20120513,261.42,272.55,0.57,435.13,121.38,124.88,14.96,0.4,2.09
20120514,265.02,278.7,0.58,446.69,122.8,127.36,15.37,0.41,2.15
20120515,212.06,265.71,0.46,451.97,98.81,120.76,12.25,0.32,1.65
20120516,265.23,276.28,0.58,438.05,121.01,124.27,14.72,0.39,2.03
20120517,267.54,287.85,0.59,440.25,122.31,129.23,15.27,0.4,2.05
20120518,241.91,266.73,0.53,450.98,111.09,119.84,13.25,0.34,1.77
20120519,276.49,285.97,0.6,441.27,127.2,129.95,15.85,0.41,2.13
20120520,243.83,276.35,0.53,455.53,113.23,125.25,14.0,0.38,1.98
20120521,269.14,285.09,0.59,449.38,124.3,129.88,15.6,0.41,2.12
20120522,273.92,290.89,0.59,442.34,126.15,132.03,15.95,0.43,2.21
20120523,244.5,273.05,0.53,457.84,112.45,123.23,13.75,0.36,1.87
20120524,254.91,272.8,0.55,451.42,116.6,122.96,14.23,0.38,1.91
20120525,266.73,283.49,0.58,442.79,121.66,127.3,15.02,0.39,2.01
20120526,255.28,273.71,0.55,446.41,117.27,123.29,14.35,0.38,1.94
20120527,219.95,245.3,0.48,450.67,99.58,108.32,11.27,0.29,1.48
20120528,208.16,236.77,0.45,448.07,95.36,105.34,10.84,0.27,1.43
20120529,226.3,262.8,0.49,451.46,105.7,119.22,12.92,0.34,1.73
20120530,238.12,263.77,0.52,447.97,110.62,119.67,13.35,0.36,1.86
20120531,223.99,267.15,0.48,451.37,105.56,121.94,12.84,0.35,1.8
20120601,194.62,271.34,0.42,442.55,93.92,124.66,11.77,0.32,1.62
20120602,242.26,266.48,0.52,450.74,112.54,121.48,13.59,0.36,1.86
20120603,181.82,257.35,0.39,462.47,87.65,118.36,10.55,0.28,1.42
20120604,256.33,282.58,0.55,461.55,120.23,130.43,15.14,0.41,2.11
20120605,255.61,292.73,0.55,457.58,120.65,134.99,15.54,0.43,2.21
20120606,268.83,292.05,0.59,452.0,127.09,135.37,16.41,0.45,2.32
20120607,206.98,275.17,0.45,457.72,99.32,127.47,12.6,0.34,1.77
20120608,244.33,257.37,0.53,450.45,112.83,116.97,13.71,0.37,1.9
20120609,231.2,264.04,0.5,454.62,108.86,120.88,13.5,0.38,1.94
20120610,233.16,265.48,0.51,450.78,108.38,120.5,13.06,0.35,1.83
20120611,250.84,267.8,0.54,451.06,117.87,123.99,14.41,0.39,2.02
20120612,256.19,278.59,0.55,454.4,121.74,129.86,15.18,0.42,2.18
20120613,252.62,279.02,0.55,447.91,120.09,130.7,15.25,0.42,2.18
20120614,215.69,260.14,0.47,450.5,102.93,120.45,12.34,0.34,1.71
20120615,206.89,262.26,0.45,452.36,99.66,122.03,12.01,0.33,1.68
20120616,163.91,273.68,0.35,453.16,82.05,128.54,10.54,0.3,1.5
20120617,116.35,248.24,0.25,448.98,59.2,114.41,7.2,0.2,1.02
20120618,212.27,249.45,0.46,450.62,99.93,114.41,11.77,0.32,1.62
20120619,116.47,241.67,0.25,451.12,58.37,110.45,7.11,0.19,0.94
20120620,126.27,261.65,0.27,455.67,62.87,121.46,8.05,0.23,1.16
20120621,106.22,274.9,0.23,450.62,56.19,129.4,8.05,0.23,1.2
20120622,169.24,264.85,0.37,450.16,84.27,123.71,10.81,0.3,1.52
20120623,110.06,273.76,0.24,453.75,57.96,128.99,8.05,0.23,1.18
20120624,51.75,250.24,0.11,443.93,28.13,115.57,3.83,0.1,0.51
20120625,164.61,286.6,0.36,439.47,82.71,134.75,11.17,0.31,1.6
20120626,214.66,272.99,0.47,435.83,104.08,127.63,13.12,0.36,1.85
20120627,214.87,276.49,0.47,439.68,103.57,128.95,13.27,0.36,1.88
20120628,262.44,284.26,0.57,446.27,124.2,132.02,15.88,0.43,2.24
20120629,204.12,258.41,0.45,449.66,98.58,120.32,12.45,0.34,1.76
20120630,212.94,254.7,0.46,448.19,101.37,117.73,12.41,0.34,1.77
20120701,221.89,285.27,0.48,449.72,108.8,134.67,14.99,0.43,2.22
20120702,157.05,307.03,0.34,445.3,80.31,146.63,12.28,0.35,1.8
20120703,178.97,294.21,0.39,448.44,91.0,139.72,13.39,0.38,1.95
20120704,167.73,293.75,0.37,450.96,86.77,140.27,13.06,0.38,1.96
20120705,165.27,296.98,0.36,451.37,85.32,142.12,12.82,0.39,2.02
20120706,198.84,302.63,0.43,445.53,101.32,144.69,14.98,0.44,2.23
20120707,161.59,294.86,0.35,443.72,80.98,139.69,11.19,0.3,1.54
20120708,114.39,285.02,0.25,443.27,59.8,134.07,8.47,0.23,1.2
20120709,166.14,294.93,0.36,444.61,84.85,140.35,12.01,0.34,1.77
20120710,223.69,302.39,0.48,440.01,110.69,144.02,15.38,0.44,2.25
20120711,162.64,289.3,0.35,447.26,81.85,136.8,11.17,0.31,1.59
20120712,100.19,287.98,0.22,452.1,53.14,136.56,7.52,0.2,1.03
20120713,199.3,281.33,0.44,449.38,97.76,132.8,12.86,0.38,1.96
20120714,184.8,295.12,0.41,441.95,92.34,140.46,12.61,0.38,1.98
20120715,174.47,296.1,0.38,441.64,88.33,140.64,12.38,0.36,1.87
20120716,164.98,292.76,0.36,443.02,84.37,138.66,11.79,0.34,1.75
20120717,167.76,283.1,0.37,443.68,84.95,133.55,11.55,0.34,1.7
20120718,148.02,244.88,0.32,445.58,72.93,112.6,8.97,0.26,1.34
20120719,93.48,231.98,0.2,448.98,48.07,104.6,5.98,0.16,0.84
20120720,177.91,289.53,0.39,450.73,89.75,137.73,12.6,0.38,1.95
20120721,199.18,297.05,0.44,443.95,99.79,141.58,13.91,0.41,2.12
20120722,219.02,297.27,0.48,441.91,108.29,141.62,14.94,0.44,2.24
20120723,211.38,293.41,0.46,446.33,105.52,139.8,14.64,0.44,2.24
20120724,191.04,286.84,0.42,446.45,95.68,135.39,13.06,0.38,1.95
20120725,182.38,297.12,0.4,448.59,92.46,141.43,13.06,0.38,1.92
20120726,163.86,292.02,0.36,450.22,84.02,138.72,12.01,0.34,1.77
20120727,111.29,288.45,0.24,447.23,59.3,137.12,8.76,0.26,1.3
20120728,140.41,292.63,0.31,447.7,72.8,139.41,10.52,0.32,1.63
20120729,118.03,285.57,0.26,441.05,62.0,135.16,9.01,0.27,1.35
20120730,170.72,300.62,0.38,444.82,87.41,143.67,12.73,0.38,1.95
20120731,145.34,293.7,0.32,449.95,74.83,139.29,10.96,0.33,1.66
20120801,178.75,287.31,0.4,448.76,89.58,135.74,12.5,0.37,1.89
20120802,214.51,286.77,0.48,444.83,105.25,135.41,14.28,0.41,2.12
20120803,198.43,288.74,0.44,446.28,98.38,136.7,13.6,0.41,2.09
20120804,152.32,291.18,0.34,441.74,77.61,137.98,11.17,0.33,1.69
20120805,177.0,293.39,0.39,441.12,89.58,139.67,12.73,0.37,1.85
20120806,175.04,294.05,0.39,441.89,88.46,139.64,12.48,0.36,1.85
20120807,191.2,290.9,0.43,443.57,95.92,137.97,13.41,0.4,2.05
20120808,150.29,280.15,0.34,443.45,76.91,132.34,10.81,0.33,1.68
20120809,174.56,281.38,0.39,441.1,87.77,132.71,12.3,0.35,1.8
20120810,136.34,284.97,0.3,443.23,70.21,135.07,10.18,0.31,1.59
20120811,140.23,282.97,0.31,437.84,72.73,133.92,10.56,0.31,1.58
20120812,159.53,275.14,0.36,438.2,80.82,129.52,11.17,0.33,1.7
20120813,145.7,276.14,0.33,437.48,74.4,129.91,10.38,0.3,1.51
20120814,168.34,270.73,0.38,440.12,83.96,126.69,11.52,0.34,1.71
20120815,215.28,274.45,0.48,439.36,104.52,128.8,13.96,0.4,2.05
20120816,207.11,273.47,0.47,442.9,100.54,128.23,13.52,0.4,2.05
20120817,201.8,277.99,0.46,444.62,99.11,130.78,13.4,0.39,2.01
20120818,185.2,285.23,0.42,440.7,91.78,135.04,12.76,0.38,1.91
20120819,215.23,284.16,0.49,435.64,105.2,134.38,14.3,0.41,2.13
20120820,148.65,277.96,0.34,434.76,75.62,131.3,10.61,0.3,1.55
20120821,90.35,282.53,0.2,444.24,48.48,134.65,7.27,0.2,1.04
20120822,226.17,279.53,0.52,435.98,110.21,131.98,14.8,0.43,2.2
20120823,215.12,282.58,0.49,435.66,105.35,133.38,14.15,0.42,2.16
20120824,207.95,269.2,0.48,439.27,101.08,126.16,13.34,0.38,1.96
20120825,132.47,275.74,0.3,438.42,67.2,130.35,9.52,0.28,1.45
20120826,198.45,279.91,0.46,437.27,97.77,132.17,13.48,0.4,2.05
20120827,196.72,282.84,0.45,434.12,97.87,134.27,13.59,0.4,2.05
20120828,216.84,277.06,0.5,433.21,104.59,130.42,14.0,0.41,2.08
20120829,208.49,282.6,0.48,434.08,101.68,133.79,13.87,0.4,2.07
20120830,199.29,285.95,0.47,430.95,98.91,135.84,13.66,0.4,2.04
20120831,212.48,280.76,0.5,433.12,103.49,133.02,14.08,0.41,2.07
20120901,254.23,274.35,0.59,435.81,122.32,130.21,16.7,0.48,2.52
20120902,236.74,272.32,0.55,435.33,114.33,128.7,15.8,0.45,2.31
20120903,199.09,276.91,0.47,434.24,98.78,131.68,14.14,0.41,2.1
20120904,108.45,273.14,0.26,434.66,57.84,130.07,9.03,0.27,1.34
20120905,40.83,266.52,0.09,436.46,22.66,126.43,3.7,0.1,0.51
20120906,94.76,261.07,0.23,437.24,50.55,123.62,7.8,0.22,1.1
20120907,224.3,270.85,0.54,435.73,109.1,128.52,15.38,0.45,2.27
20120908,234.77,260.15,0.56,430.8,111.59,122.04,15.04,0.42,2.15
20120909,139.53,270.77,0.34,436.53,71.63,129.2,10.57,0.32,1.63
20120910,173.98,269.15,0.42,433.18,87.27,128.12,12.36,0.35,1.79
20120911,179.41,261.7,0.44,434.49,88.78,123.55,12.29,0.35,1.77
20120912,222.19,255.14,0.54,434.03,106.55,119.93,14.11,0.39,2.02
20120913,167.22,255.27,0.41,442.89,82.55,120.39,11.46,0.33,1.68
20120914,159.44,245.46,0.39,434.01,79.03,114.84,10.8,0.3,1.55
20120915,190.81,242.12,0.47,433.55,92.09,113.33,12.26,0.34,1.73
20120916,187.14,249.69,0.46,434.17,91.36,117.49,12.39,0.34,1.75
20120917,180.54,261.95,0.45,434.88,89.82,124.73,12.83,0.38,1.94
20120918,190.08,258.76,0.47,433.52,93.59,122.59,13.12,0.37,1.88
20120919,223.79,252.7,0.55,431.43,106.66,118.59,14.22,0.4,2.05
20120920,236.8,256.44,0.59,432.46,112.79,120.94,14.99,0.41,2.08
20120921,221.73,242.7,0.55,435.02,104.88,113.45,13.69,0.37,1.91
20120922,235.28,253.78,0.59,432.4,112.13,119.8,14.95,0.41,2.15
20120923,244.84,251.3,0.62,430.47,115.55,118.27,15.14,0.41,2.16
20120924,223.33,237.73,0.56,427.11,103.73,109.7,13.28,0.36,1.85
20120925,250.03,250.53,0.63,407.93,114.7,115.07,15.01,0.4,2.06
20120926,229.59,244.31,0.59,407.59,105.34,111.48,13.55,0.36,1.84
20120927,234.38,245.29,0.6,421.25,109.93,114.63,14.45,0.4,2.04
20120928,220.09,243.3,0.56,430.66,104.04,113.8,13.77,0.38,1.91
20120929,211.59,235.94,0.55,428.71,99.73,110.11,12.96,0.34,1.76
20120930,238.48,246.05,0.62,425.31,112.7,116.26,14.89,0.41,2.08
20121001,221.51,252.07,0.58,426.01,106.17,119.69,14.54,0.4,2.05
20121002,209.26,249.27,0.55,425.87,100.83,118.03,14.0,0.38,1.93
20121003,209.77,248.42,0.55,428.55,102.26,118.88,15.23,0.41,2.11
20121004,129.01,241.89,0.34,432.07,66.16,115.26,10.59,0.3,1.55
20121005,159.87,207.07,0.42,426.13,75.84,94.2,10.05,0.27,1.38
20121006,208.76,218.85,0.55,412.52,93.02,97.05,11.77,0.3,1.55
20121007,157.03,229.3,0.42,423.1,76.46,106.71,11.38,0.3,1.58
20121008,157.23,229.06,0.42,429.33,77.2,107.73,11.43,0.31,1.62
20121009,203.34,232.06,0.55,420.51,96.85,108.59,13.66,0.37,1.88
20121010,121.94,234.65,0.33,425.86,63.25,110.91,10.3,0.28,1.45
20121011,209.06,236.79,0.57,419.84,100.18,111.59,14.23,0.39,2.03
20121012,165.67,230.3,0.45,428.73,80.29,107.48,11.87,0.32,1.66
20121013,187.48,220.91,0.52,422.83,89.26,103.2,12.39,0.33,1.69
20121014,165.72,220.95,0.46,421.62,79.2,102.77,11.13,0.3,1.52
20121015,220.79,221.77,0.62,373.54,96.29,97.05,12.29,0.31,-999.0
20121016,216.05,219.52,0.6,372.41,94.57,96.27,11.95,0.3,-999.0
20121017,222.66,225.2,0.62,381.87,99.6,101.01,13.02,0.32,-999.0
20121018,228.88,232.1,0.65,376.66,102.89,104.59,13.78,0.34,-999.0
20121019,228.41,228.98,0.65,380.73,103.02,103.77,13.88,0.34,1.76
20121020,224.12,227.27,0.64,376.53,100.73,102.52,13.53,0.34,1.71
20121021,234.92,235.2,0.67,368.72,105.92,106.71,14.43,0.38,1.91
20121022,228.45,231.15,0.66,371.15,104.48,106.23,14.24,0.37,1.88
20121023,219.36,221.8,0.63,378.37,100.07,101.74,13.48,0.35,1.8
20121024,219.97,221.41,0.64,365.18,97.98,99.33,13.02,0.34,-999.0
20121025,209.79,210.47,0.62,373.08,93.82,94.73,12.48,0.3,1.57
20121026,191.34,191.91,0.56,382.55,84.55,85.3,10.48,0.25,1.28
20121027,200.55,202.09,0.59,374.75,89.91,91.02,11.81,0.3,1.51
20121028,225.61,224.07,0.67,357.94,100.76,100.88,13.54,0.34,1.74
20121029,237.55,235.92,0.71,345.04,105.45,105.53,14.52,0.36,1.8
20121030,225.38,225.7,0.68,349.95,99.76,100.6,13.28,0.33,1.69
20121031,220.58,226.52,0.66,356.2,99.07,102.06,13.2,0.34,1.77
20121101,199.93,217.88,0.61,370.47,92.15,99.78,12.63,0.34,1.77
20121102,121.77,211.82,0.38,401.68,61.52,99.55,9.54,0.25,1.33
20121103,86.52,203.65,0.27,404.42,45.12,95.66,7.33,0.2,1.03
20121104,112.55,201.46,0.34,412.01,56.61,94.43,8.75,0.23,1.22
20121105,109.47,207.7,0.34,423.85,56.16,98.06,9.14,0.25,1.34
20121106,111.82,207.61,0.35,422.75,57.73,98.34,9.65,0.25,1.31
20121107,149.42,192.5,0.47,403.38,70.32,87.64,9.77,0.23,1.23
20121108,158.18,176.05,0.5,389.58,70.58,77.66,8.92,0.2,1.05
20121109,173.34,171.7,0.55,355.35,73.23,73.31,8.53,0.19,0.93
20121110,163.04,162.77,0.52,346.89,68.32,68.81,7.91,0.17,0.86
20121111,171.56,171.45,0.55,339.49,72.27,72.8,8.53,0.19,0.95
20121112,162.13,169.23,0.52,351.15,69.47,72.49,8.23,0.19,0.97
20121113,185.77,186.41,0.6,342.76,79.88,80.82,9.88,0.23,1.16
20121114,201.73,200.76,0.66,342.1,88.84,89.21,11.69,0.27,1.4
20121115,201.14,199.41,0.66,333.67,87.32,87.45,11.29,0.27,1.34
20121116,209.73,208.05,0.69,324.58,91.23,91.38,12.02,0.28,1.43
20121117,180.49,202.97,0.59,363.16,82.98,92.59,11.42,0.28,1.48
20121118,129.77,202.49,0.43,394.38,63.16,94.38,9.76,0.25,1.32
20121119,170.62,198.61,0.56,397.59,80.24,92.2,11.23,0.28,1.43
20121120,147.19,195.45,0.49,399.58,71.02,91.06,10.28,0.25,1.31
20121121,177.38,181.88,0.59,369.67,79.94,82.57,10.22,0.24,1.23
20121122,180.77,179.25,0.61,368.54,80.11,80.4,10.13,0.23,1.19
20121123,164.37,164.18,0.55,364.56,70.51,71.24,8.41,0.19,0.95
20121124,157.38,155.3,0.53,361.55,66.84,66.84,7.77,0.17,0.88
20121125,172.99,170.73,0.59,332.52,72.77,72.8,8.74,0.19,0.95
20121126,174.95,174.13,0.59,329.91,74.59,75.11,9.1,0.2,1.0
20121127,175.84,173.62,0.6,322.99,74.3,74.35,9.11,0.2,0.97
20121128,184.73,183.1,0.63,319.38,78.9,79.16,10.0,0.21,1.08
20121129,178.44,176.18,0.62,316.3,75.05,75.1,9.25,0.2,0.96
20121130,173.14,171.43,0.6,322.27,72.8,73.04,8.84,0.19,0.95
20121201,161.8,166.38,0.56,334.55,68.84,71.12,8.25,0.19,0.95
20121202,166.15,172.8,0.58,331.52,70.83,73.95,8.64,0.2,1.06
20121203,176.32,183.65,0.62,325.14,76.52,79.88,9.79,0.23,1.23
20121204,173.42,177.98,0.61,327.11,74.74,77.06,9.43,0.22,1.1
20121205,169.22,174.43,0.59,329.12,72.96,75.46,9.18,0.21,1.09
20121206,165.85,169.17,0.59,328.3,71.68,73.52,8.8,0.2,1.03
20121207,158.91,170.67,0.56,330.85,68.02,72.84,8.38,0.2,1.06
20121208,168.42,172.92,0.59,328.87,72.23,74.49,8.89,0.21,1.07
20121209,163.68,166.09,0.58,335.05,70.37,71.89,8.54,0.2,1.03
20121210,166.45,167.64,0.59,352.7,73.01,74.12,9.05,0.22,1.12
20121211,87.94,141.67,0.31,393.44,40.82,62.09,5.23,0.13,0.7
